qs_2026 Rank,qs_Previous Rank,qs_Institution Name,qs_Country/Territory,qs_Region,qs_Size,qs_Focus,qs_Research,qs_Status,qs_AR SCORE,qs_AR RANK,qs_ER SCORE,qs_ER RANK,qs_FSR SCORE,qs_FSR RANK,qs_CPF SCORE,qs_CPF RANK,qs_IFR SCORE,qs_IFR RANK,qs_ISR SCORE,qs_ISR RANK,qs_ISD SCORE,qs_ISD RANK,qs_IRN SCORE,qs_IRN RANK,qs_EO SCORE,qs_EO RANK,qs_SUS SCORE,qs_SUS RANK,qs_Overall SCORE,qs_2026_rank_original,qs_2026_rank,qs_2026_rank_display,qs_overall_score,qs_overall_score_available,qs_university_key,the_Rank,the_Name,the_Country,the_Student Population,the_Students to Staff Ratio,the_International Students,the_Female to Male Ratio,the_Overall Score,the_Teaching,the_Research Environment,the_Research Quality,the_Industry Impact,the_International Outlook,the_Year,the_rank,the_female_to_male_ratio_clean,the_female_to_male_ratio_original,the_university_key,match_type,match_similarity,country_match,qs_Institution Name_original,the_Name_original,qs_university_key_clean,the_university_key_clean
27.0,29.0,McGill University,Canada,Americas,L,FC,VH,Public,98.1,35.0,93.5,58.0,67.3,250.0,72.4,194.0,88.6,232.0,93.5,138.0,69.6,272.0,92.9,130.0,98.9,27.0,96.3,,88.9,27,27.0,27,88.9,True,mcgill university,41.0,McGill University,Canada,30196.0,11.7,0.29,"2 days, 13:39:00",77.1269999999999,71.0,70.8,86.2,77.5,89.2,2026.0,41.0,61.0,"2 days, 13:39:00",mcgill university,exact_name_country,100.0,True,McGill University,McGill University,mcgill university,mcgill university
29.0,25.0,University of Toronto,Canada,Americas,XL,FC,VH,Public,100.0,11.0,99.1,25.0,45.7,428.0,68.8,224.0,97.9,143.0,97.9,91.0,98.0,78.0,97.0,37.0,99.4,22.0,100.0,1.0,88.5,29,29.0,29,88.5,True,university of toronto,21.0,University of Toronto,Canada,80394.0,25.1,0.39,"2 days, 8:44:00",88.4544999999999,78.2,92.9,92.3,95.8,92.3,2026.0,21.0,56.0,"2 days, 8:44:00",university of toronto,exact_name_country,100.0,True,University of Toronto,University of Toronto,university of toronto,university of toronto
30.0,39.0,Fudan University,China (Mainland),Asia,XL,FC,VH,Public,93.7,50.0,95.1,49.0,84.8,137.0,92.8,89.0,88.5,234.0,46.4,433.0,51.4,402.0,75.5,431.0,73.3,193.0,83.1,134.0,88.4,30,30.0,30,88.4,True,fudan university,36.0,Fudan University,China (Mainland),38601.0,12.4,0.1,"2 days, 4:48:00",79.2785,79.5,77.1,84.8,99.8,53.8,2026.0,36.0,52.0,"2 days, 4:48:00",fudan university,exact_name_country,100.0,True,Fudan University,Fudan University,fudan university,fudan university
32.0,30.0,Australian National University,Australia,Oceania,L,FC,VH,Public,97.9,37.0,82.6,96.0,40.9,495.0,91.7,93.0,100.0,49.0,99.0,68.0,99.1,59.0,93.1,123.0,67.1,232.0,91.8,48.0,87.4,32,32.0,32,87.4,True,australian national university,74.0,Australian National University,Australia,17243.0,13.3,0.51,"2 days, 6:46:00",71.1075,56.7,62.6,85.7,86.3,94.2,2026.0,74.0,54.0,"2 days, 6:46:00",australian national university,exact_name_country,100.0,True,Australian National University,Australian National University,australian national university,australian national university
34.0,27.0,University of Edinburgh,United Kingdom,Europe,XL,FC,VH,Public,99.6,24.0,98.2,33.0,77.3,179.0,54.3,338.0,99.7,105.0,99.9,42.0,99.9,31.0,99.5,5.0,69.7,213.0,98.3,,87.2,34,34.0,34,87.2,True,university of edinburgh,29.0,University of Edinburgh,United Kingdom,35350.0,11.3,0.49,"2 days, 14:38:00",82.4895,75.7,74.7,94.8,71.0,96.2,2026.0,29.0,62.0,"2 days, 14:38:00",university of edinburgh,exact_name_country,100.0,True,University of Edinburgh,University of Edinburgh,university of edinburgh,university of edinburgh
36.0,37.0,Monash University,Australia,Oceania,XL,FC,VH,Public,95.7,45.0,87.5,81.0,11.3,,93.0,88.0,100.0,61.0,100.0,24.0,100.0,15.0,94.7,87.0,86.7,128.0,91.7,,85.8,36,36.0,36,85.8,True,monash university,60.0,Monash University,Australia,56287.0,30.6,0.36,"2 days, 6:46:00",74.0899999999999,54.3,65.5,94.0,99.6,91.9,2026.0,60.0,54.0,"2 days, 6:46:00",monash university,exact_name_country,100.0,True,Monash University,Monash University,monash university,monash university
36.0,32.0,The University of Tokyo,Japan,Asia,L,FC,VH,Public,100.0,7.0,99.9,10.0,92.4,94.0,69.9,217.0,15.9,777.0,44.0,457.0,49.2,422.0,88.8,193.0,100.0,10.0,92.3,44.0,85.8,36,36.0,36,85.8,True,the university of tokyo,26.0,The University of Tokyo,Japan,26298.0,10.2,0.18,,83.5244999999999,94.7,94.2,68.2,100.0,50.8,2026.0,26.0,,,the university of tokyo,exact_name_country,100.0,True,The University of Tokyo,The University of Tokyo,the university of tokyo,the university of tokyo
38.0,34.0,Columbia University,United States of America,Americas,XL,FC,VH,Private not for Profit,99.9,13.0,99.9,11.0,100.0,19.0,44.5,418.0,48.5,445.0,98.1,88.0,72.9,250.0,98.4,18.0,100.0,8.0,77.9,,85.6,38,38.0,38,85.6,True,columbia university,20.0,Columbia University,United States of America,30580.0,5.6,0.42,,89.4025,87.8,87.8,95.9,74.8,83.7,2026.0,20.0,,,columbia university,exact_name_country,100.0,True,Columbia University,Columbia University,columbia university,columbia university
38.0,31.0,Seoul National University,Republic of Korea,Asia,L,FC,VH,Public,99.7,20.0,99.1,24.0,85.6,130.0,81.2,150.0,13.2,,27.5,622.0,33.5,571.0,77.6,391.0,100.0,6.0,90.8,57.0,85.6,38,38.0,38,85.6,True,seoul national university,59.0,Seoul National University,Republic of Korea,26783.0,15.3,0.16,,74.094,74.1,74.8,77.6,100.0,43.5,2026.0,59.0,,,seoul national university,exact_name_country,100.0,True,Seoul National University,Seoul National University,seoul national university,seoul national university
40.0,38.0,University of British Columbia,Canada,Americas,XL,FC,VH,Public,99.6,23.0,96.5,41.0,34.7,568.0,70.9,210.0,98.5,135.0,79.8,222.0,81.7,191.0,96.6,48.0,84.9,135.0,98.5,,85.5,40,40.0,40,85.5,True,university of british columbia,45.0,University of British Columbia,Canada,60112.0,18.7,0.34,"2 days, 7:45:00",77.029,64.1,73.9,88.6,77.4,93.5,2026.0,45.0,55.0,"2 days, 7:45:00",university of british columbia,exact_name_country,100.0,True,University of British Columbia,University of British Columbia,university of british columbia,university of british columbia
41.0,46.0,Institut Polytechnique de Paris,France,Europe,M,CO,VH,Public,58.1,185.0,99.8,14.0,94.8,76.0,97.3,52.0,99.9,99.0,99.2,61.0,99.2,50.0,93.0,125.0,99.1,25.0,77.9,,85.4,41,41.0,41,85.4,True,institut polytechnique de paris,69.0,Institut Polytechnique de Paris,France,6217.0,7.6,0.43,1.0118055555555556,71.6434999999999,71.8,62.4,70.9,99.1,95.1,2026.0,69.0,,1.0118055555555556,institut polytechnique de paris,exact_name_country,100.0,True,Institut Polytechnique de Paris,Institut Polytechnique de Paris,institut polytechnique de paris,institut polytechnique de paris
42.0,50.0,Northwestern University,United States of America,Americas,L,FC,VH,Private not for Profit,92.2,59.0,89.4,74.0,99.1,44.0,71.2,205.0,57.7,399.0,67.2,295.0,50.0,414.0,86.5,229.0,99.5,20.0,74.4,,85.1,42,42.0,42,85.1,True,northwestern university,30.0,Northwestern University,United States of America,20611.0,8.2,0.24,"2 days, 6:46:00",81.869,73.2,76.0,96.9,96.0,71.0,2026.0,30.0,54.0,"2 days, 6:46:00",northwestern university,exact_name_country,100.0,True,Northwestern University,Northwestern University,northwestern university,northwestern university
