Rank,Previous Rank,University,Country,Region,Size,Focus,Research,Status,Academic Reputation SCORE,Academic Reputation  RANK,Employer Reputation SCORE,Employer Reputation RANK,Faculty Student Ratio SCORE,Faculty Student Ratio RANK,Citations per Faculty SCORE,Citations per Faculty RANK,International Faculty  SCORE,International Faculty  RANK,International Student SCORE,International student  RANK,International Students Diversity SCORE,International Students Diversity RANK,International Research Network SCORE,International Research Network RANK,Employment Outcomes SCORE,Employment Outcomes RANK,Sustainability SCORE,Sustainability RANK,Overall SCORE,Ranking_Source,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
524,501,University of Huddersfield,United Kingdom,Europe,L,CO,VH,Public,17.9,683.0,19.0,684.0,9.1,801.0,36.3,515.0,79.7,298,91.6,154.0,92.2,131.0,74.6,45000%,2.2,801.0,69.1,329=,31.2,QS,,,,,,,,,,,
525,587,The University of Georgia,United States of America,Americas,XL,FC,VH,Public,27.9,452.0,36.7,388.0,14.0,801.0,33.0,552.0,11.1,801,8.8,801.0,6.8,801.0,85.0,25400%,35.8,478.0,65.9,385=,31.1,QS,,,,,,,,,,,
526,631-640,Boston College,United States of America,Americas,L,CO,VH,Private not for Profit,29.9,407.0,30.2,471.0,28.0,681.0,26.8,618.0,9.8,801,28.5,608.0,34.5,556.0,47.7,80100%,64.8,240.0,56.0,579=,30.9,QS,,,,,,,,,,,
526,567,Chiang Mai University,Thailand,Asia,XL,FC,HI,Public,48.8,236.0,30.4,467.0,22.0,790.0,8.8,801.0,5.5,801,8.7,801.0,13.3,801.0,65.8,61300%,28.7,584.0,67.6,355=,30.9,QS,,,,,,,,,,,
526,516,University of Hull,United Kingdom,Europe,L,FC,HI,Public,13.2,701.0,14.3,701.0,15.9,801.0,36.9,505.0,68.3,342,95.6,121.0,95.9,103.0,70.3,52600%,29.5,556.0,75.4,228=,30.9,QS,,,,,,,,,,,
526,539,University of Salamanca,Spain,Europe,L,FC,VH,Public,36.9,323.0,23.5,568.0,36.8,545.0,11.8,801.0,10.2,801,25.9,647.0,31.9,590.0,86.3,23100%,33.4,506.0,70.8,303=,30.9,QS,,,,,,,,,,,
530,,The Education University of Hong Kong,"Hong Kong SAR, China",Asia,M,FO,VH,,9.4,701.0,7.8,701.0,71.7,215.0,39.7,474.0,99.8,104,68.6,285.0,61.7,325.0,43.4,80100%,9.4,801.0,35.3,801,30.8,QS,,,,,,,,,,,
530,592,Universität Bremen,Germany,Europe,L,CO,VH,Public,25.7,491.0,14.2,701.0,15.2,801.0,39.5,477.0,61.4,381,41.9,477.0,47.2,440.0,86.9,22000%,7.6,801.0,54.9,605,30.8,QS,,,,,,,,,,,
530,547,University of Genoa,Italy,Europe,L,FC,VH,Public,28.0,451.0,10.6,701.0,19.8,801.0,52.6,358.0,9.2,801,17.5,773.0,23.6,711.0,83.1,29100%,16.6,795.0,62.3,452=,30.8,QS,,,,,,,,,,,
530,596,University of Iowa,United States of America,Americas,L,FC,VH,Public,25.5,498.0,16.2,701.0,50.1,383.0,27.4,614.0,40.4,496,8.5,801.0,14.2,801.0,68.7,55500%,47.1,373.0,61.0,480=,30.8,QS,,,,,,,,,,,
534,565,University of Connecticut,United States of America,Americas,L,FC,VH,Public,20.8,597.0,14.6,701.0,28.1,679.0,33.5,543.0,54.6,415,34.9,543.0,40.6,500.0,85.1,25300%,40.1,437.0,63.4,433=,30.7,QS,,,,,,,,,,,
535,601-610,King Khalid University,Saudi Arabia,Asia,L,FC,VH,Public,25.8,489.0,17.6,701.0,64.6,274.0,7.0,801.0,100.0,30,35.9,535.0,26.9,658.0,84.4,26600%,2.7,801.0,45.7,801,30.6,QS,,,,,,,,,,,
535,701-710,Lebanese American University,Lebanon,Asia,M,FC,HI,Private not for Profit,20.2,610.0,44.6,301.0,31.3,612.0,10.7,801.0,80.6,293,26.6,638.0,31.7,593.0,78.3,38000%,29.2,564.0,58.3,539=,30.6,QS,,,,,,,,,,,
535,681-690,Prince Sultan University,Saudi Arabia,Asia,S,SP,VH,Private not for Profit,10.6,701.0,12.0,701.0,19.4,801.0,61.9,274.0,100.0,35,23.2,686.0,24.7,691.0,62.7,65400%,15.9,801.0,45.7,801,30.6,QS,,,,,,,,,,,
535,527,Universität Leipzig,Germany,Europe,L,FC,VH,Public,31.5,391.0,14.0,701.0,85.3,132.0,13.0,801.0,,,24.0,673.0,18.1,795.0,82.7,29800%,15.9,801.0,57.2,557,30.6,QS,,,,,,,,,,,
535,596,University of Ljubljana,Slovenia,Europe,XL,FC,VH,Public,29.7,414.0,18.9,689.0,45.6,431.0,11.0,801.0,7.1,801,18.1,760.0,13.7,801.0,85.7,24100%,98.1,41.0,54.2,619=,30.6,QS,,,,,,,,,,,
540,580,Jinan University (China),China (Mainland),Asia,XL,FC,VH,Public,8.6,701.0,8.7,701.0,12.3,801.0,75.3,177.0,41.6,486,89.1,174.0,66.3,295.0,47.2,80100%,10.5,801.0,40.5,801,30.5,QS,,,,,,,,,,,
540,531,University of Utah,United States of America,Americas,XL,FC,VH,Public,21.8,570.0,13.1,701.0,53.8,349.0,38.3,488.0,21.2,695,18.2,759.0,24.3,699.0,74.5,45500%,28.3,588.0,59.6,509=,30.5,QS,,,,,,,,,,,
542,592,Ain Shams University,Egypt,Africa,XL,FC,VH,Public,35.6,340.0,38.8,357.0,17.1,801.0,3.5,801.0,29.5,590,13.7,801.0,19.7,769.0,80.8,33600%,69.6,216.0,56.7,562=,30.3,QS,,,,,,,,,,,
542,587,Universiti Teknologi MARA - UiTM,Malaysia,Asia,XL,FC,VH,Public,44.5,267.0,48.8,265.0,26.3,709.0,5.6,801.0,2.5,801,3.4,801.0,7.7,801.0,74.3,45800%,4.9,801.0,55.4,593=,30.3,QS,,,,,,,,,,,
542,513,University of Milano-Bicocca,Italy,Europe,L,FO,VH,Public,28.6,438.0,19.2,677.0,5.2,801.0,56.0,317.0,7.3,801,8.3,801.0,14.0,801.0,80.8,33500%,15.0,801.0,53.6,630=,30.3,QS,,,,,,,,,,,
542,570,University of the Punjab,Pakistan,Asia,XL,CO,VH,Public,22.5,559.0,57.6,203.0,5.7,801.0,24.4,649.0,4.0,801,1.7,801.0,6.1,801.0,71.8,50400%,89.4,109.0,44.3,801,30.3,QS,,,,,,,,,,,
546,554,Universität Ulm,Germany,Europe,M,FO,VH,Public,10.9,701.0,10.2,701.0,83.9,147.0,43.8,430.0,47.5,450,30.8,582.0,23.1,718.0,67.2,58500%,3.4,801.0,38.7,801,30.2,QS,,,,,,,,,,,
546,488,University of Hawaii at Mañoa,United States of America,Americas,L,FC,VH,Public,21.3,583.0,10.5,701.0,32.4,594.0,51.8,366.0,25.2,650,11.1,801.0,17.0,801.0,84.5,26400%,13.3,801.0,60.9,486=,30.2,QS,,,,,,,,,,,
546,547,University of Windsor,Canada,Americas,L,CO,VH,Public,5.1,701.0,7.1,701.0,2.7,801.0,58.2,299.0,89.4,228,94.6,132.0,95.0,110.0,49.5,80100%,34.4,497.0,68.7,339=,30.2,QS,,,,,,,,,,,
549,573,Florida State University,United States of America,Americas,XL,FC,VH,Public,32.7,375.0,24.0,562.0,11.4,801.0,34.1,536.0,16.4,772,9.0,801.0,14.7,801.0,74.5,45400%,34.8,493.0,62.5,449,30.1,QS,,,,,,,,,,,
550,535,Northumbria University at Newcastle,United Kingdom,Europe,L,CO,VH,Public,16.6,701.0,19.1,681.0,18.2,801.0,30.6,580.0,64.5,360,63.6,313.0,67.1,289.0,81.5,32100%,20.0,725.0,77.8,201=,30,QS,,,,,,,,,,,
551,596,Thammasat University,Thailand,Asia,XL,FC,HI,Public,36.7,329.0,38.3,365.0,27.2,694.0,3.9,801.0,15.9,779,2.2,801.0,6.9,801.0,45.7,80100%,90.6,100.0,60.7,494=,29.9,QS,,,,,,,,,,,
551,641-650,Universiti Tenaga Nasional (UNITEN),Malaysia,Asia,S,SP,VH,Private for Profit,9.5,701.0,19.9,660.0,76.6,187.0,34.1,535.0,34.7,537,70.5,274.0,65.6,299.0,55.7,75400%,5.3,801.0,48.7,737=,29.9,QS,,,,,,,,,,,
553,539,Hitotsubashi University,Japan,Asia,M,SP,VH,Public,19.7,627.0,78.1,112.0,42.2,473.0,4.0,801.0,31.3,573,33.5,553.0,36.1,533.0,11.7,80100%,57.5,290.0,32.2,801,29.8,QS,,,,,,,,,,,
553,506,University of Delaware,United States of America,Americas,L,CO,VH,Public,12.5,701.0,9.4,701.0,9.6,801.0,64.1,255.0,48.2,447,22.5,695.0,28.6,632.0,68.5,55900%,28.7,581.0,72.9,275=,29.8,QS,,,,,,,,,,,
555,535,Lahore University of Management Sciences (LUMS),Pakistan,Asia,S,CO,VH,Private not for Profit,21.4,578.0,77.3,114.0,28.8,660.0,16.5,775.0,10.8,801,3.1,801.0,7.3,801.0,26.2,80100%,48.4,358.0,45.0,801,29.7,QS,,,,,,,,,,,
556,477,Indian Institute of Technology Indore,India,Asia,S,FO,VH,Public,8.0,701.0,16.9,701.0,28.8,658.0,96.9,57.0,1.8,801,1.3,801.0,5.7,801.0,28.2,80100%,5.3,801.0,34.7,801,29.6,QS,,,,,,,,,,,
556,651-660,University of Houston,United States of America,Americas,XL,CO,VH,Public,18.7,656.0,24.9,541.0,8.1,801.0,30.2,585.0,48.0,448,43.9,459.0,32.8,579.0,74.1,46500%,67.3,230.0,57.1,558,29.6,QS,,,,,,,,,,,
558,552,Al Ain University,United Arab Emirates,Asia,S,FO,VH,Private not for Profit,25.6,494.0,20.8,631.0,20.8,801.0,17.0,764.0,100.0,1,100.0,20.0,74.4,238.0,37.1,80100%,7.3,801.0,42.9,801,29.5,QS,,,,,,,,,,,
558,526,Coventry University,United Kingdom,Europe,L,CO,VH,Public,16.0,701.0,18.5,697.0,21.8,798.0,14.8,801.0,85.1,258,99.5,62.0,99.5,51.0,84.3,27100%,18.4,752.0,71.2,297=,29.5,QS,,,,,,,,,,,
558,580,Jawaharlal Nehru University,India,Asia,M,CO,VH,Public,39.8,303.0,17.4,701.0,16.7,801.0,37.6,497.0,,,1.7,801.0,6.0,801.0,56.9,73700%,20.6,716.0,59.3,514=,29.5,QS,,,,,,,,,,,
558,576,Sogang University,Republic of Korea,Asia,M,CO,VH,Private not for Profit,27.3,459.0,51.9,235.0,61.3,290.0,8.9,801.0,9.5,801,35.3,537.0,39.2,505.0,16.2,80100%,23.4,665.0,49.8,706=,29.5,QS,,,,,,,,,,,
558,587,University of Kwazulu-Natal,South Africa,Africa,XL,FC,VH,Public,17.9,682.0,14.4,701.0,6.9,801.0,44.5,420.0,29.1,591,2.1,801.0,6.7,801.0,95.9,6200%,79.4,163.0,63.0,441=,29.5,QS,,,,,,,,,,,
563,631-640,Ajou University,Republic of Korea,Asia,M,FC,VH,Private not for Profit,19.8,623.0,22.1,600.0,70.2,230.0,34.3,530.0,13.3,801,58.0,355.0,58.4,350.0,18.1,80100%,5.3,801.0,53.3,636=,29.4,QS,,,,,,,,,,,
563,611-620,American University of the Middle East,Kuwait,Asia,M,SP,HI,Private for Profit,25.9,487.0,34.7,416.0,28.9,652.0,8.9,801.0,100.0,7,36.9,528.0,38.6,512.0,67.2,58600%,6.1,801.0,47.2,783=,29.4,QS,,,,,,,,,,,
563,574,University of Debrecen,Hungary,Europe,L,FC,HI,Public,27.3,458.0,21.5,613.0,45.9,426.0,7.4,801.0,14.4,801,76.5,248.0,78.7,220.0,74.9,44400%,25.9,625.0,70.4,311=,29.4,QS,,,,,,,,,,,
566,474,Bangor University,United Kingdom,Europe,M,FC,VH,Public,12.8,701.0,10.5,701.0,18.9,801.0,44.4,422.0,38.1,515,77.4,239.0,79.5,210.0,74.7,44700%,16.9,787.0,78.0,195=,29.3,QS,,,,,,,,,,,
566,531,Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi),India,Asia,M,FO,VH,Public,9.3,701.0,19.4,670.0,5.2,801.0,98.0,47.0,2.5,801,1.2,801.0,5.6,801.0,30.5,80100%,10.3,801.0,48.3,749=,29.3,QS,,,,,,,,,,,
566,621-630,Renmin (People’s) University of China,China (Mainland),Asia,L,FO,VH,Public,29.7,416.0,50.0,255.0,21.3,801.0,16.6,771.0,8.9,801,9.1,801.0,7.0,801.0,26.0,80100%,83.6,142.0,44.5,801,29.3,QS,,,,,,,,,,,
566,631-640,Savitribai Phule Pune University,India,Asia,M,CO,VH,Public,11.1,701.0,20.3,647.0,47.1,420.0,63.8,257.0,,,3.3,801.0,7.5,801.0,54.7,77300%,30.4,547.0,43.0,801,29.3,QS,,,,,,,,,,,
566,611-620,University of Minho,Portugal,Europe,L,FC,VH,Public,22.2,564.0,17.1,701.0,28.3,676.0,38.6,485.0,21.3,694,26.0,645.0,32.0,589.0,83.6,28400%,15.7,801.0,67.7,353=,29.3,QS,,,,,,,,,,,
571,501,Colorado School of Mines,United States of America,Americas,M,FO,VH,Public,11.3,701.0,22.5,588.0,18.8,801.0,69.9,216.0,28.7,599,11.2,801.0,17.1,801.0,30.9,80100%,29.4,558.0,54.7,608=,29.2,QS,,,,,,,,,,,
571,641-650,Hacettepe University,Türkiye,Asia,L,FC,VH,Public,33.0,371.0,50.5,251.0,18.5,801.0,11.8,801.0,3.9,801,6.1,801.0,10.9,801.0,73.5,48300%,30.8,536.0,58.3,539=,29.2,QS,,,,,,,,,,,
571,489,Isfahan University of Technology,Iran (Islamic Republic of),Asia,M,FO,VH,,7.8,701.0,22.6,586.0,6.4,801.0,97.7,50.0,2.2,801,3.9,801.0,7.7,801.0,45.7,80100%,9.6,801.0,28.0,801,29.2,QS,,,,,,,,,,,
571,611-620,Pontificia Universidade Católica do Rio de Janeiro (PUC - Rio),Brazil,Americas,M,CO,VH,Private not for Profit,42.5,279.0,23.5,570.0,17.2,801.0,14.6,801.0,16.1,776,2.6,801.0,7.1,801.0,46.1,80100%,73.4,192.0,51.3,677=,29.2,QS,,,,,,,,,,,
575,611-620,Brno University of Technology,Czechia,Europe,L,FO,VH,Public,17.7,691.0,36.4,393.0,37.0,544.0,13.7,801.0,26.7,631,77.3,241.0,79.2,215.0,80.7,33900%,15.7,801.0,61.3,471=,29.1,QS,,,,,,,,,,,
575,691-700,Chandigarh University,India,Asia,XL,FC,HI,Private not for Profit,22.4,561.0,70.0,147.0,34.2,573.0,2.8,801.0,44.5,469,25.1,662.0,29.4,621.0,66.3,60300%,1.7,801.0,44.0,801,29.1,QS,,,,,,,,,,,
575,526,Universität Jena,Germany,Europe,L,FC,VH,Public,23.4,540.0,10.4,701.0,100.0,21.0,12.7,801.0,,,34.1,548.0,25.5,679.0,91.1,15400%,4.9,801.0,53.2,641=,29.1,QS,,,,,,,,,,,
578,576,Universidad Adolfo Ibáñez,Chile,Americas,M,SP,VH,Private not for Profit,28.7,433.0,63.3,170.0,7.6,801.0,9.1,801.0,46.4,460,8.0,801.0,11.7,801.0,34.4,80100%,60.7,267.0,40.0,801,29,QS,,,,,,,,,,,
578,562,Universiti Teknologi Brunei,Brunei Darussalam,Asia,S,FO,VH,Public,20.2,609.0,13.1,701.0,86.5,123.0,22.7,673.0,100.0,62,7.7,801.0,11.5,801.0,20.7,80100%,16.6,794.0,34.7,801,29,QS,,,,,,,,,,,
578,552,University of Tabriz,Iran (Islamic Republic of),Asia,L,CO,VH,Public,9.7,701.0,11.2,701.0,2.9,801.0,91.7,94.0,1.7,801,25.4,655.0,24.4,697.0,76.9,40800%,5.1,801.0,29.6,801,29,QS,,,,,,,,,,,
581,544,Universidad Pontificia Comillas,Spain,Europe,M,FO,VH,Private not for Profit,12.3,701.0,76.7,117.0,48.4,400.0,4.1,801.0,25.4,644,11.2,801.0,16.6,801.0,10.4,80100%,87.1,125.0,49.2,729=,28.9,QS,,,,,,,,,,,
582,574,Florida International University,United States of America,Americas,XL,FC,HI,Public,22.7,551.0,38.3,363.0,18.3,801.0,17.5,759.0,27.7,617,22.6,692.0,28.7,630.0,84.7,26000%,28.0,595.0,79.0,187,28.8,QS,,,,,,,,,,,
582,547,University of Iceland,Iceland,Europe,M,CO,VH,,9.6,701.0,2.0,701.0,99.6,35.0,18.0,751.0,32.4,557,18.1,761.0,24.2,700.0,75.5,43200%,89.3,110.0,49.4,719=,28.8,QS,,,,,,,,,,,
584,621-630,Charles Darwin University,Australia,Oceania,M,FO,VH,Public,7.8,701.0,7.3,701.0,6.4,801.0,65.1,247.0,41.8,483,88.9,178.0,88.5,154.0,49.7,80100%,4.8,801.0,70.7,305=,28.7,QS,,,,,,,,,,,
584,564,Eotvos Lorand University,Hungary,Europe,XL,CO,VH,Public,31.6,390.0,29.7,479.0,16.6,801.0,9.3,801.0,5.7,801,26.1,644.0,32.2,588.0,79.8,35400%,69.2,220.0,68.1,349=,28.7,QS,,,,,,,,,,,
584,554,University of Dhaka,Bangladesh,Asia,XL,FC,HI,Public,30.5,401.0,51.3,242.0,10.5,801.0,6.9,801.0,2.2,801,1.4,801.0,1.3,801.0,57.8,72000%,97.0,59.0,54.2,619=,28.7,QS,,,,,,,,,,,
587,711-720,American University,United States of America,Americas,M,CO,VH,Private not for Profit,19.8,624.0,50.2,253.0,45.1,433.0,7.6,801.0,16.7,770,27.0,630.0,33.1,574.0,34.6,80100%,51.6,328.0,74.6,247=,28.6,QS,,,,,,,,,,,
587,641-650,National Central University,Taiwan,Asia,M,CO,VH,Public,28.9,428.0,38.7,360.0,26.4,706.0,25.6,628.0,18.5,735,18.4,755.0,20.4,755.0,33.9,80100%,18.7,747.0,60.6,496,28.6,QS,,,,,,,,,,,
587,562,Université Claude Bernard Lyon 1,France,Europe,XL,FC,VH,Public,26.1,486.0,5.9,701.0,9.6,801.0,53.0,356.0,10.1,801,20.5,723.0,15.5,801.0,91.7,14900%,16.0,801.0,51.0,680=,28.6,QS,,,,,,,,,,,
587,580,Université Paul Sabatier Toulouse III,France,Europe,L,FO,VH,Public,24.6,519.0,4.4,701.0,45.5,432.0,36.4,514.0,6.9,801,33.2,557.0,24.8,687.0,98.1,2100%,9.3,801.0,50.4,696=,28.6,QS,,,,,,,,,,,
591,485,American University of Ras Al Khaimah ( AURAK ),United Arab Emirates,Asia,S,SP,MD,Public,8.4,701.0,9.5,701.0,37.6,536.0,48.6,383.0,100.0,9,100.0,15.0,97.4,88.0,15.3,80100%,4.4,801.0,25.3,801,28.5,QS,,,,,,,,,,,
591,587,Bond University,Australia,Oceania,S,FO,VH,Private not for Profit,5.9,701.0,8.3,701.0,52.1,362.0,53.8,346.0,63.5,366,90.4,164.0,91.2,139.0,24.6,80100%,11.6,801.0,23.5,801,28.5,QS,,,,,,,,,,,
591,601-610,Illinois Institute of Technology,United States of America,Americas,M,CO,VH,Private not for Profit,16.9,701.0,23.3,575.0,15.8,801.0,47.5,396.0,18.7,734,99.7,48.0,99.7,38.0,27.3,80100%,22.5,683.0,32.5,801,28.5,QS,,,,,,,,,,,
591,497,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russian Federation,Europe,M,FO,VH,Public,10.3,701.0,20.9,627.0,99.3,40.0,11.2,801.0,60.6,387,93.3,142.0,93.8,118.0,30.2,80100%,17.6,769.0,23.0,801,28.5,QS,,,,,,,,,,,
595,671-680,Universidade Federal de Minas Gerais,Brazil,Americas,XL,FC,VH,Public,45.4,257.0,16.9,701.0,21.1,801.0,11.8,801.0,9.0,801,2.5,801.0,7.0,801.0,67.6,57400%,50.9,335.0,48.2,751=,28.4,QS,,,,,,,,,,,
595,621-630,Zayed University,United Arab Emirates,Asia,M,SP,VH,Public,19.8,625.0,31.7,452.0,34.7,567.0,21.8,688.0,100.0,17,2.8,801.0,7.1,801.0,48.5,80100%,29.3,561.0,41.1,801,28.4,QS,,,,,,,,,,,
597,611-620,Asia Pacific University of Technology and Innovation (APU) Malaysia,Malaysia,Asia,S,SP,HI,Private for Profit,17.3,701.0,23.7,565.0,74.2,204.0,2.9,801.0,95.6,169,100.0,16.0,100.0,10.0,14.1,80100%,5.3,801.0,39.0,801,28.3,QS,,,,,,,,,,,
597,554,Hasselt University,Belgium,Europe,M,FC,HI,Public,8.8,701.0,5.2,701.0,85.7,128.0,22.8,671.0,78.5,306,41.1,483.0,46.4,448.0,69.8,53300%,6.6,801.0,62.7,444=,28.3,QS,,,,,,,,,,,
597,580,Management and Science University - MSU Malaysia,Malaysia,Asia,S,FO,VH,Private for Profit,25.1,509.0,20.9,629.0,55.3,340.0,3.2,801.0,99.6,107,100.0,23.0,99.7,40.0,10.8,80100%,5.3,801.0,36.8,801,28.3,QS,,,,,,,,,,,
597,611-620,Taipei Medical University,Taiwan,Asia,M,SP,VH,Private not for Profit,16.9,701.0,14.7,701.0,94.2,83.0,32.3,558.0,20.0,713,22.0,699.0,16.6,801.0,24.7,80100%,11.9,801.0,48.1,757=,28.3,QS,,,,,,,,,,,
597,631-640,Tulane University,United States of America,Americas,L,FC,HI,Private not for Profit,14.5,701.0,13.8,701.0,87.2,117.0,17.5,760.0,20.3,708,18.5,752.0,24.6,692.0,79.2,36300%,46.2,375.0,51.8,665=,28.3,QS,,,,,,,,,,,
597,570,University of Szeged,Hungary,Europe,L,FC,HI,Private not for Profit,26.2,484.0,22.7,583.0,41.9,482.0,8.9,801.0,15.4,801,56.4,368.0,60.6,336.0,75.3,43800%,29.0,574.0,69.4,323=,28.3,QS,,,,,,,,,,,
597,596,University of Texas at Dallas,United States of America,Americas,L,FC,VH,Public,19.3,641.0,33.7,426.0,5.5,801.0,43.0,438.0,14.4,801,61.1,335.0,64.9,305.0,55.3,76500%,9.1,801.0,48.9,733,28.3,QS,,,,,,,,,,,
604,523,Canadian University of Dubai,United Arab Emirates,Asia,S,FO,HI,Private for Profit,22.7,553.0,29.7,478.0,40.3,499.0,7.0,801.0,100.0,4,100.0,7.0,74.4,237.0,18.8,80100%,18.1,758.0,17.6,801,28.2,QS,,,,,,,,,,,
604,601-610,National Chengchi University,Taiwan,Asia,L,CO,HI,Public,28.3,444.0,46.9,279.0,21.2,801.0,3.4,801.0,38.0,516,36.2,532.0,41.1,497.0,12.8,80100%,93.3,84.0,41.4,801,28.2,QS,,,,,,,,,,,
604,535,University of Eastern Finland,Finland,Europe,L,CO,VH,Public,18.9,649.0,10.3,701.0,45.0,435.0,35.3,520.0,39.2,507,12.0,801.0,17.9,797.0,84.0,27500%,5.6,801.0,71.2,297=,28.2,QS,,,,,,,,,,,
607,691-700,University of Siena,Italy,Europe,M,FC,VH,Public,21.4,580.0,7.8,701.0,15.3,801.0,60.2,288.0,4.6,801,19.7,734.0,25.8,673.0,61.2,67500%,12.3,801.0,63.4,433=,28,QS,,,,,,,,,,,
607,481,University of Tennessee,United States of America,Americas,XL,FC,VH,Public,14.3,701.0,11.7,701.0,12.9,801.0,69.3,220.0,6.9,801,4.6,801.0,9.8,801.0,68.6,55700%,25.2,636.0,54.8,606=,28,QS,,,,,,,,,,,
609,592,Nottingham Trent University,United Kingdom,Europe,XL,CO,VH,Public,16.4,701.0,22.9,580.0,15.5,801.0,10.7,801.0,67.1,349,90.4,165.0,91.2,140.0,84.8,25800%,20.4,717.0,77.5,206=,27.9,QS,,,,,,,,,,,
609,559,Peter the Great St.Petersburg Polytechnic University,Russian Federation,Europe,L,CO,VH,Public,18.0,679.0,17.8,701.0,79.8,169.0,4.9,801.0,18.9,730,89.8,167.0,90.7,142.0,70.4,52200%,11.1,801.0,51.6,669=,27.9,QS,,,,,,,,,,,
609,741-750,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),Malaysia,Asia,M,FO,VH,Public,17.2,701.0,9.9,701.0,23.6,760.0,57.9,300.0,32.1,561,19.0,746.0,21.1,747.0,61.6,66800%,5.2,801.0,51.4,675=,27.9,QS,,,,,,,,,,,
609,559,University of Ulster,United Kingdom,Europe,L,CO,VH,Public,12.6,701.0,19.8,664.0,11.4,801.0,19.0,731.0,100.0,94,90.1,166.0,90.9,141.0,71.5,50800%,10.1,801.0,75.6,227,27.9,QS,,,,,,,,,,,
613,539,Applied Science University - Bahrain,Bahrain,Asia,S,FO,VH,Private not for Profit,26.6,473.0,29.4,485.0,51.6,367.0,4.5,801.0,100.0,14,62.3,324.0,46.5,447.0,12.3,80100%,11.9,801.0,23.9,801,27.8,QS,,,,,,,,,,,
613,661-670,City University of New York,United States of America,Americas,XL,FC,VH,Public,25.3,505.0,59.4,195.0,14.3,801.0,6.4,801.0,8.4,801,8.3,801.0,6.4,801.0,92.9,12800%,31.3,532.0,55.4,593=,27.8,QS,,,,,,,,,,,
613,661-670,International Islamic University Malaysia (IIUM),Malaysia,Asia,L,FC,HI,Public,36.0,337.0,27.3,503.0,17.9,801.0,6.2,801.0,29.1,592,69.0,282.0,51.4,401.0,58.6,71200%,32.3,523.0,32.0,801,27.8,QS,,,,,,,,,,,
613,631-640,Universidad de Concepción,Chile,Americas,L,FC,HI,Private not for Profit,36.8,325.0,34.0,422.0,20.2,801.0,12.3,801.0,14.5,801,2.6,801.0,6.9,801.0,64.1,63400%,16.9,786.0,69.5,321=,27.8,QS,,,,,,,,,,,
613,661-670,University of Plymouth,United Kingdom,Europe,L,FC,HI,Public,13.8,701.0,14.2,701.0,15.4,801.0,36.7,508.0,61.3,382=,61.4,332.0,65.1,303.0,82.1,31100%,13.8,801.0,58.6,530=,27.8,QS,,,,,,,,,,,
618,611-620,Christian-Albrechts-Universität zu Kiel,Germany,Europe,L,FC,VH,Public,24.4,522.0,14.6,701.0,56.7,325.0,20.9,700.0,,,15.1,801.0,11.5,801.0,92.4,13900%,24.5,648.0,59.2,516=,27.7,QS,,,,,,,,,,,
618,701-710,Dongguk University,Republic of Korea,Asia,L,FC,HI,Private not for Profit,12.8,701.0,18.0,701.0,76.3,189.0,29.9,589.0,22.9,676,52.3,395.0,56.8,360.0,36.2,80100%,6.7,801.0,56.5,571=,27.7,QS,,,,,,,,,,,
618,711-720,Saint Joseph University of Beirut (USJ),Lebanon,Asia,M,FC,HI,Private not for Profit,13.4,701.0,38.2,366.0,62.3,285.0,4.2,801.0,94.3,186,40.7,485.0,46.1,453.0,30.2,80100%,40.8,431.0,35.0,801,27.7,QS,,,,,,,,,,,
618,511,Zhengzhou University,China (Mainland),Asia,XL,FC,VH,Public,7.1,701.0,23.8,564.0,7.0,801.0,82.7,137.0,,,4.1,801.0,3.3,801.0,62.3,66100%,11.4,801.0,42.3,801,27.7,QS,,,,,,,,,,,
622,559,Umm Al-Qura University,Saudi Arabia,Asia,XL,FC,HI,Public,23.6,537.0,15.4,701.0,61.3,291.0,4.9,801.0,100.0,95,26.1,643.0,19.6,770.0,71.3,51000%,11.5,801.0,36.8,801,27.6,QS,,,,,,,,,,,
622,681-690,University of New Brunswick,Canada,Americas,M,CO,VH,Public,7.1,701.0,17.9,701.0,22.2,786.0,41.1,458.0,67.5,346,65.1,308.0,68.5,282.0,51.1,80100%,24.7,646.0,62.7,444=,27.6,QS,,,,,,,,,,,
624,721-730,Diponegoro University,Indonesia,Asia,XL,FC,HI,Public,30.0,405.0,53.2,229.0,30.5,622.0,2.3,801.0,46.4,461,7.1,801.0,12.0,801.0,35.5,80100%,24.2,655.0,51.0,680=,27.5,QS,,,,,,,,,,,
624,641-650,Oregon State University,United States of America,Americas,L,CO,VH,Public,19.7,626.0,11.9,701.0,20.4,801.0,44.4,423.0,17.3,761,11.9,801.0,9.1,801.0,80.3,35000%,28.8,579.0,64.1,420=,27.5,QS,,,,,,,,,,,
624,641-650,Universidad del Pais Vasco,Spain,Europe,XL,CO,VH,Public,28.6,435.0,10.8,701.0,38.4,530.0,27.8,608.0,3.0,801,6.3,801.0,4.9,801.0,90.1,17200%,31.2,533.0,51.5,673=,27.5,QS,,,,,,,,,,,
