Rank,Previous Rank,University,Country,Region,Size,Focus,Research,Status,Academic Reputation SCORE,Academic Reputation  RANK,Employer Reputation SCORE,Employer Reputation RANK,Faculty Student Ratio SCORE,Faculty Student Ratio RANK,Citations per Faculty SCORE,Citations per Faculty RANK,International Faculty  SCORE,International Faculty  RANK,International Student SCORE,International student  RANK,International Students Diversity SCORE,International Students Diversity RANK,International Research Network SCORE,International Research Network RANK,Employment Outcomes SCORE,Employment Outcomes RANK,Sustainability SCORE,Sustainability RANK,Overall SCORE,Ranking_Source,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
25,18,The University of Sydney,Australia,Oceania,XL,FC,VH,Public,98.9,29.0,94.2,53.0,15.7,801.0,94.3,78.0,99.9,101,100.0,18.0,100.0,12.0,95.5,7100%,95.8,70.0,97.6,11,89.4,QS,,,,,,,,,,,
27,29,McGill University,Canada,Americas,L,FC,VH,Public,98.1,35.0,93.5,58.0,67.3,250.0,72.4,194.0,88.6,232,93.5,138.0,69.6,272.0,92.9,13000%,98.9,27.0,96.3,15=,88.9,QS,,,,,,,,,,,
28,24,PSL University,France,Europe,L,CO,VH,Public,82.6,86.0,98.5,31.0,98.6,48.0,85.1,123.0,69.6,336,75.5,252.0,77.9,222.0,99.7,300%,97.5,51.0,87.8,83=,88.6,QS,,,,,,,,,,,
29,25,University of Toronto,Canada,Americas,XL,FC,VH,Public,100.0,11.0,99.1,25.0,45.7,428.0,68.8,224.0,97.9,143,97.9,91.0,98.0,78.0,97.0,3700%,99.4,22.0,100.0,1,88.5,QS,,,,,,,,,,,
30,39,Fudan University,China (Mainland),Asia,XL,FC,VH,Public,93.7,50.0,95.1,49.0,84.8,137.0,92.8,89.0,88.5,234,46.4,433.0,51.4,402.0,75.5,43100%,73.3,193.0,83.1,134,88.4,QS,,,,,,,,,,,
31,40,King's College London (KCL),United Kingdom,Europe,XL,FC,VH,Public,96.2,44.0,91.8,65.0,74.4,202.0,70.2,215.0,99.5,115,99.0,70.0,99.0,61.0,98.4,1900%,76.4,174.0,96.5,14,88.3,QS,,,,,,,,,,,
32,30,Australian National University,Australia,Oceania,L,FC,VH,Public,97.9,37.0,82.6,96.0,40.9,495.0,91.7,93.0,100.0,49,99.0,68.0,99.1,59.0,93.1,12300%,67.1,232.0,91.8,48,87.4,QS,,,,,,,,,,,
32,36,The Chinese University of Hong Kong,"Hong Kong SAR, China",Asia,L,FC,VH,Public,94.2,48.0,67.3,157.0,75.9,191.0,95.0,71.0,100.0,50,93.3,143.0,90.3,147.0,68.2,56300%,91.2,94.0,84.1,123,87.4,QS,,,,,,,,,,,
34,27,University of Edinburgh,United Kingdom,Europe,XL,FC,VH,Public,99.6,24.0,98.2,33.0,77.3,179.0,54.3,338.0,99.7,105,99.9,42.0,99.9,31.0,99.5,500%,69.7,213.0,98.3,7=,87.2,QS,,,,,,,,,,,
35,34,The University of Manchester,United Kingdom,Europe,XL,FC,VH,Public,98.6,31.0,98.8,26.0,58.2,310.0,56.8,308.0,95.3,176,99.5,56.0,99.5,45.0,99.4,700%,91.9,90.0,98.2,9=,86.4,QS,,,,,,,,,,,
36,37,Monash University,Australia,Oceania,XL,FC,VH,Public,95.7,45.0,87.5,81.0,11.3,801.0,93.0,88.0,100.0,61,100.0,24.0,100.0,15.0,94.7,8700%,86.7,128.0,91.7,49=,85.8,QS,,,,,,,,,,,
36,32,The University of Tokyo,Japan,Asia,L,FC,VH,Public,100.0,7.0,99.9,10.0,92.4,94.0,69.9,217.0,15.9,777,44.0,457.0,49.2,422.0,88.8,19300%,100.0,10.0,92.3,44,85.8,QS,,,,,,,,,,,
38,34,Columbia University,United States of America,Americas,XL,FC,VH,Private not for Profit,99.9,13.0,99.9,11.0,100.0,19.0,44.5,418.0,48.5,445,98.1,88.0,72.9,250.0,98.4,1800%,100.0,8.0,77.9,198=,85.6,QS,,,,,,,,,,,
38,31,Seoul National University,Republic of Korea,Asia,L,FC,VH,Public,99.7,20.0,99.1,24.0,85.6,130.0,81.2,150.0,13.2,801,27.5,622.0,33.5,571.0,77.6,39100%,100.0,6.0,90.8,57,85.6,QS,,,,,,,,,,,
