university_name,country,year,ranking_source,rank,score
National Institute of Technology Srinagar,India,2026,THE,1437,28.2589999999999
National Institute of Technology Meghalaya,India,2026,THE,1438,28.245
Tianjin Normal University,China,2026,THE,1439,28.2445
Mutah University,Jordan,2026,THE,1440,28.2284999999999
Sefako Makgatho Health Sciences University,South Africa,2026,THE,1441,28.217
TOBB University of Economics and Technology,Turkey,2026,THE,1442,28.2155
PontifÃ­cia Universidade CatÃ³lica do ParanÃ¡,Brazil,2026,THE,1443,28.1884999999999
Shiv Nadar University,India,2026,THE,1444,28.176
BINUS University,Indonesia,2026,THE,1445,28.1345
USAMV Cluj-Napoca,Romania,2026,THE,1446,28.0939999999999
National University of Uzbekistan named after Mirzo Ulugbek,Uzbekistan,2026,THE,1447,28.0775
Gauhati University,India,2026,THE,1448,28.0475
National Taiwan Ocean University,Taiwan,2026,THE,1449,28.0409999999999
Shinshu University,Japan,2026,THE,1450,28.0269999999999
Zhejiang Chinese Medical University,China,2026,THE,1451,28.0224999999999
National Textile University,Pakistan,2026,THE,1452,28.0184999999999
Tokushima University,Japan,2026,THE,1453,28.0089999999999
Holy Spirit University of Kaslik,Lebanon,2026,THE,1454,28.0084999999999
University of Jos,Nigeria,2026,THE,1455,27.9935
University of La Serena,Chile,2026,THE,1456,27.96
Kookmin University,South Korea,2026,THE,1457,27.9595
Reshetnev Siberian State University of Science and Technology,Russian Federation,2026,THE,1458,27.9544999999999
Osaka Metropolitan University,Japan,2026,THE,1459,27.9465
Riga StradiÅ†Å¡ University,Latvia,2026,THE,1460,27.9335
The British University in Egypt,Egypt,2026,THE,1461,27.9044999999999
Budapest University of Technology and Economics,Hungary,2026,THE,1462,27.9025
Opole University of Technology,Poland,2026,THE,1463,27.8919999999999
SASTRA University,India,2026,THE,1464,27.891
American International University â€“ Bangladesh,Bangladesh,2026,THE,1465,27.875
Kharazmi University,Iran,2026,THE,1466,27.8714999999999
Vytautas Magnus University,Lithuania,2026,THE,1467,27.8629999999999
University of Kerala,India,2026,THE,1468,27.8105
National University of Distance Education (UNED),Spain,2026,THE,1469,27.7454999999999
Istanbul Medeniyet University,Turkey,2026,THE,1470,27.7449999999999
I-Shou University,Taiwan,2026,THE,1471,27.735
UniversitÃ© Djillali LiabÃ¨s de Sidi Bel-AbbÃ¨s,Algeria,2026,THE,1472,27.6894999999999
Universidade Federal de Pernambuco,Brazil,2026,THE,1473,27.676
National Dong Hwa University,Taiwan,2026,THE,1474,27.6579999999999
"University of Health Sciences, Turkey",Turkey,2026,THE,1475,27.6055
University of La Frontera,Chile,2026,THE,1476,27.5929999999999
Thammasat University,Thailand,2026,THE,1477,27.5875
IFHE Hyderabad,India,2026,THE,1478,27.5615
Autonomous University of Sinaloa,Mexico,2026,THE,1479,27.5379999999999
Lebanese University,Lebanon,2026,THE,1480,27.5229999999999
SÃ¼leyman Demirel University,Turkey,2026,THE,1481,27.482
University of BrasÃ­lia,Brazil,2026,THE,1482,27.4785
University of Manouba,Tunisia,2026,THE,1483,27.4745
University of South Wales,United Kingdom,2026,THE,1484,27.459
Universidad del Desarrollo,Chile,2026,THE,1485,27.4519999999999
Kyushu Institute of Technology (Kyutech),Japan,2026,THE,1486,27.4514999999999
University of Split,Croatia,2026,THE,1487,27.4225
National Chung Cheng University,Taiwan,2026,THE,1488,27.412
M. Kumarasamy College of Engineering,India,2026,THE,1489,27.388
Yanshan University,China,2026,THE,1490,27.37
Ilia State University,Georgia,2026,THE,1491,27.3434999999999
