University_Name,Country,Year,QS_Rank,QS_Previous_Rank,QS_Academic_Reputation_Score,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,THE_Rank,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students_Pct,THE_Female_Ratio,THE_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,Data_Source,QS_THE_Match_Status,QS_Data_Available,THE_Data_Available
Tokyo City University,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2011,7789,28.2,2,26,74,17.59,17.9,12,15.7,47.3,29.7,THE only,THE record not matched in QS,FALSE,TRUE
Tokyo Denki University,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2119,9991,28.6,2,13,87,14.8775,15.2,8.9,14.2,48.5,21.5,THE only,THE record not matched in QS,FALSE,TRUE
Tokyo Institute of Technology,Japan,2026,85,84,85,Asia,M,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Tokyo Medical and Dental University,Japan,2026,697,665.5,15.7,Asia,S,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Tokyo Medical University,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1042,1322,3.4,1,51,49,34.7705,33.2,18.1,50.9,71.5,21.3,THE only,THE record not matched in QS,FALSE,TRUE
Tokyo Metropolitan University,Japan,2026,1100.5,1100.5,17.5,Asia,M,CO,VH,Public,1520,8789,10.7,5,39,61,27.024,29.7,16.2,29.8,52.8,33.5,QS + THE,Matched,TRUE,TRUE
Tokyo University of Agriculture,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1942,13209,33.6,2,44,56,18.9205,19.9,9.8,22.8,34.7,26.4,THE only,THE record not matched in QS,FALSE,TRUE
Tokyo University of Agriculture and Technology,Japan,2026,875.5,875.5,15.6,Asia,M,FO,VH,Public,1204,5923,14.2,7,36,64,32.038,34,25.5,28,82.2,39,QS + THE,Matched,TRUE,TRUE
Tokyo University of Marine Science and Technology,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1536,2571,11.6,8,33,67,26.655,30.2,17.8,22.7,58.1,46,THE only,THE record not matched in QS,FALSE,TRUE
Tokyo University of Science (RIKADAI),Japan,2026,825.5,755.5,11.5,Asia,L,FO,VH,Private not for Profit,1424,18002,24.1,4,25,75,28.375,23.8,26.8,27.7,74.8,30.4,QS + THE,Matched,TRUE,TRUE
Tokyo University of Technology,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2088,7808,27.1,3,35,65,15.78,16.3,12.9,11.6,31.7,33.1,THE only,THE record not matched in QS,FALSE,TRUE
Tomas Bata University in Zlin,Czechia,2026,1300.5,1300.5,6.1,Europe,M,CO,HI,Public,1361,8964,18.4,12,56,44,29.305,22.7,21.1,37.7,28.8,53.7,QS + THE,Matched,TRUE,TRUE
Tomsk Polytechnic University,Russia,2026,688,576,9.4,Europe,M,FO,VH,Public,967,9179,11,35,33,67,36.082,40.9,25.1,29.8,63.5,70.1,QS + THE,Matched,TRUE,TRUE
Tomsk State University,Russia,2026,499,431,25.3,Europe,M,CO,VH,Public,668,7985,11.7,37,-1,-1,41.943,50.5,38.3,27,55.9,74.7,QS + THE,Matched,TRUE,TRUE
Tomsk State University of Control Systems and Radioelectronics,Russia,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1854,6402,12.2,16,26,74,21.085,22.9,16.9,15,52.9,37.5,THE only,THE record not matched in QS,FALSE,TRUE
Ton Duc Thang University,Viet Nam,2026,684,715.5,6.1,Asia,L,CO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Ton Duc Thang University,Vietnam,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,764,27459,16.3,2,57,43,39.782,15.8,12.2,85.9,27.2,63,THE only,THE record not matched in QS,FALSE,TRUE
Tongji University,China,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,143,33414,11.9,16,41,59,62.2865,53.2,53.6,74.3,99.9,63.5,THE only,THE record not matched in QS,FALSE,TRUE
Tongji University,China (Mainland),2026,177,192,45.2,Asia,XL,FC,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Tongmyong University,South Korea,2026,1401,-1,6.3,Asia,M,FO,HI,Not Available,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Toronto Metropolitan University (formerly Ryerson University),Canada,2026,715.5,825.5,12.5,Americas,XL,CO,VH,Public,687,37827,39.8,11,54,46,41.628,22.4,32,61.1,69,62,QS + THE,Matched,TRUE,TRUE
Tottori University,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1744,5994,8.3,2,39,61,23.365,28.4,14,22.6,55.3,25.8,THE only,THE record not matched in QS,FALSE,TRUE
Toyama Prefectural University,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2115,2197,10.5,1,36,64,14.91,22.8,9.5,7.9,32.6,23.4,THE only,THE record not matched in QS,FALSE,TRUE
Toyo University,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2139,29543,19.1,6,41,59,14.4085,15.6,9.1,11,30.5,35.3,THE only,THE record not matched in QS,FALSE,TRUE
Toyohashi University of Technology (TUT),Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1382,1998,10.2,13,14,86,28.9195,30.7,23.6,21.4,83.6,43.4,THE only,THE record not matched in QS,FALSE,TRUE
Trakia University,Bulgaria,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2137,7188,11.7,9,67,33,14.436,20.9,10.3,8.3,19.4,26.9,THE only,THE record not matched in QS,FALSE,TRUE
Trakya University,Turkey,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2077,42685,24.1,11,50,50,16.002,13.9,9.2,20.5,19.9,30.5,THE only,THE record not matched in QS,FALSE,TRUE
Transilvania University of Brasov,Romania,2026,1300.5,1300.5,9,Europe,L,FC,HI,Public,1518,20101,22.5,2,53,47,27.0355,14.8,13.4,47.7,35.9,40.5,QS + THE,Matched,TRUE,TRUE
Tribhuvan University,Nepal,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1673,499671,19.6,0,52,48,24.4355,13.6,7.8,46.7,18.1,45.7,THE only,THE record not matched in QS,FALSE,TRUE
Trinity College Dublin,Ireland,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,175,20188,19.4,40,62,38,60.495,42.8,44.9,83.2,76.2,91.2,THE only,THE record not matched in QS,FALSE,TRUE
"Trinity College Dublin, The University of Dublin",Ireland,2026,75,87,82.5,Europe,L,FC,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Tsinghua University,China,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,12,38569,10.8,11,-1,-1,93.0305,95.9,98.5,93.9,100,53.4,THE only,THE record not matched in QS,FALSE,TRUE
Tsinghua University,China (Mainland),2026,17,20,99.9,Asia,XL,FC,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
TU Bergakademie Freiberg,Germany,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1054,4242,10.8,55,33,67,34.5425,38,25.5,28.5,57,68.1,THE only,THE record not matched in QS,FALSE,TRUE
TU Braunschweig,Germany,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,636,14251,16.3,15,42,58,42.6445,36,24.3,58.5,77.5,57.7,THE only,THE record not matched in QS,FALSE,TRUE
TU Dortmund University,Germany,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,558,16305,44.7,15,50,50,45.0545,36,35.3,57,71.5,56.5,THE only,THE record not matched in QS,FALSE,TRUE
TU Dresden,Germany,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,176,20631,21,15,49,51,60.448,47.1,50,77,99.9,66.1,THE only,THE record not matched in QS,FALSE,TRUE
TU Wien,Austria,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,308,11068,19.8,35,31,69,53.7705,44.2,47.2,55.5,99.9,85.3,THE only,THE record not matched in QS,FALSE,TRUE
Tufts University,United States,2026,334,344,23.8,Americas,L,FC,VH,Private not for Profit,190,12718,10.5,18,59,41,59.363,51.3,34.7,88.2,76.6,61.9,QS + THE,Matched,TRUE,TRUE
Tula State University,Russia,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2191,18611,19.5,6,39,61,10.274,14,8.4,4.4,17.7,22.4,THE only,THE record not matched in QS,FALSE,TRUE
Tulane University,United States,2026,597,635.5,14.5,Americas,L,FC,HI,Private not for Profit,433,13113,7.4,10,61,39,48.528,43,23.4,75.8,63.8,50.2,QS + THE,Matched,TRUE,TRUE
Tunghai University,Taiwan,2026,1300.5,1300.5,10.1,Asia,L,FO,VH,Private for Profit,1532,14886,20.5,9,55,45,26.7355,15.7,15.4,40.8,44.2,48.4,QS + THE,Matched,TRUE,TRUE
Tzu Chi University,Taiwan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1500,3102,9.2,7,61,39,27.2685,25.7,26,24.7,66.3,27.8,THE only,THE record not matched in QS,FALSE,TRUE
Ubon Ratchathani University,Thailand,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1714,13247,18.2,0,67,33,23.843,15.7,10.1,43,27,30.7,THE only,THE record not matched in QS,FALSE,TRUE
UCAM Universidad Católica San Antonio de Murcia,Spain,2026,1300.5,-1,9.6,Europe,L,FO,VH,Not Available,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
UCL (University College London),United Kingdom,2026,9,9,99.9,Europe,XL,FC,VH,Public,22,47520,12.1,63,60,40,87.4425,77.8,85.9,97.6,74.7,97.5,QS + THE,Matched,TRUE,TRUE
UCSI University,Malaysia,2026,269,265,40.7,Asia,M,FO,VH,Private for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
"UEES, Espiritu Santo University",Ecuador,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,680,4596,10.9,24,51,49,41.7715,38.8,15.3,58.8,39.9,88.7,THE only,THE record not matched in QS,FALSE,TRUE
UEH University,Vietnam,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,598,34586,33.8,0,70,30,43.811,13,21.8,92.1,50.1,53.6,THE only,THE record not matched in QS,FALSE,TRUE
Ufa State Petroleum Technological University,Russia,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2075,12689,7.8,13,39,61,16.0605,23.8,7.9,12.4,17.4,31.1,THE only,THE record not matched in QS,FALSE,TRUE
UiT The Arctic University of Norway,Norway,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,669,15308,10.6,10,62,38,41.9385,27.3,23.1,67.6,48.9,66,THE only,THE record not matched in QS,FALSE,TRUE
Ukrainian State University of Science and Technologies,Ukraine,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2129,15419,13,0,34,66,14.6955,19.8,8.9,12,20.9,24.5,THE only,THE record not matched in QS,FALSE,TRUE
Ulm University,Germany,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,284,10101,16.2,14,53,47,55.0805,42.3,31.6,83.1,91.2,64.8,THE only,THE record not matched in QS,FALSE,TRUE
Ulsan National Institute of Science and Technology,South Korea,2026,310,280,21.8,Asia,S,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Ulster University,United Kingdom,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,650,24440,23.3,29,55,45,42.345,22.8,22.8,65.7,54.3,95,THE only,THE record not matched in QS,FALSE,TRUE
Umeå University,Sweden,2026,401,456,27.2,Europe,L,FC,VH,Public,405,13447,9.4,8,62,38,49.6945,30,33.1,80.2,63.2,62.1,QS + THE,Matched,TRUE,TRUE
Umm Al-Qura University,Saudi Arabia,2026,622,559,23.6,Asia,XL,FC,HI,Public,491,34462,13.3,6,47,53,46.61,35.4,25.3,75.7,34.5,63.2,QS + THE,Matched,TRUE,TRUE
UNIR – International University of La Rioja,Spain,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1695,53424,46.1,34,63,37,24.14,12.6,15.6,35.9,20.6,57.4,THE only,THE record not matched in QS,FALSE,TRUE
Unisinos University,Brazil,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1653,14944,30.4,0,53,47,24.7195,21.6,20.7,26.1,55.3,30.7,THE only,THE record not matched in QS,FALSE,TRUE
United Arab Emirates University,United Arab Emirates,2026,229,261,43.3,Asia,M,FC,VH,Public,235,9024,13.9,18,73,27,57.063,28.7,38.1,91.8,86.5,87.3,QS + THE,Matched,TRUE,TRUE
Universidad Adolfo Ibáñez,Chile,2026,578,576,28.7,Americas,M,SP,VH,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Anahuac,Mexico,2026,875.5,825.5,18,Americas,L,CO,MD,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Andrés Bello (UNAB),Chile,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1712,49719,17.8,3,55,45,23.877,15.7,10.8,37.6,22.4,52.5,THE only,THE record not matched in QS,FALSE,TRUE
Universidad Andrés Bello - UNAB,Chile,2026,1100.5,1100.5,19.5,Americas,XL,FC,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Argentina de la Empresa -UADE,Argentina,2026,1100.5,-1,6.4,Americas,L,FO,MD,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Austral - Argentina,Argentina,2026,519,524,29.8,Americas,M,FC,MD,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Austral de Chile,Chile,2026,1100.5,1100.5,19.3,Americas,L,FC,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Autónoma Chapingo,Mexico,2026,1300.5,1100.5,4.1,Americas,M,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Autónoma de Baja California,Mexico,2026,1401,1401,10.5,Americas,XL,CO,HI,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Autónoma de Chile,Chile,2026,1401,1401,7.9,Americas,XL,FO,VH,Private not for Profit,1659,30410,26.8,1,64,36,24.6525,13,13.3,39.9,20.7,55.5,QS + THE,Matched,TRUE,TRUE
Universidad Autónoma de Coahuila,Mexico,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2114,28386,11.3,0,58,42,15.008,21.5,8.1,12,17.1,27.1,THE only,THE record not matched in QS,FALSE,TRUE
Universidad Autónoma de Guadalajara,Mexico,2026,1300.5,1300.5,10.3,Americas,M,FC,MD,Private for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Autónoma de Madrid,Spain,2026,206,198,73.1,Europe,XL,FC,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Autónoma de Nuevo León (UANL),Mexico,2026,1300.5,1100.5,20.9,Americas,XL,FC,HI,Public,2113,134947,48.4,0,51,49,15.0745,12.9,9.7,17,22.4,32.8,QS + THE,Matched,TRUE,TRUE
Universidad Autónoma de Querétaro,Mexico,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1932,24995,42.8,1,58,42,19.108,22.7,11.3,19.4,29.8,28.3,THE only,THE record not matched in QS,FALSE,TRUE
Universidad Autónoma de Yucatán,Mexico,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2141,19900,19.7,1,50,50,14.346,16,9.8,11.5,24.1,31.6,THE only,THE record not matched in QS,FALSE,TRUE
Universidad Autónoma del Estado de Hidalgo,Mexico,2026,1300.5,1300.5,3.6,Americas,XL,FC,MD,Public,2163,38623,14.2,1,58,42,13.675,17.7,9.2,10,19.2,26.9,QS + THE,Matched,TRUE,TRUE
Universidad Autónoma del Estado de México,Mexico,2026,1300.5,1100.5,23,Americas,XL,FC,MD,Public,2122,69400,9.8,1,59,41,14.8115,23.1,10,7.9,18.3,26.6,QS + THE,Matched,TRUE,TRUE
Universidad Autónoma Metropolitana (UAM),Mexico,2026,975.5,975.5,32.5,Americas,XL,FC,HI,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Carlos III de Madrid,Spain,2026,301,285,45.2,Europe,L,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Católica Andrés Bello - UCAB,Venezuela (Bolivarian Republic of),2026,925.5,745.5,33.6,Americas,M,FO,MD,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Católica de la Santísima Concepción,Chile,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1841,9954,23.7,1,56,44,21.276,11.7,18.2,26.9,17.6,50.3,THE only,THE record not matched in QS,FALSE,TRUE
Universidad Católica de Temuco,Chile,2026,1401,1401,5.4,Americas,M,CO,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Católica del Maule,Chile,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1808,12490,20.4,1,53,47,21.9385,16.1,15.8,26,17.8,54.6,THE only,THE record not matched in QS,FALSE,TRUE
Universidad Católica del Norte,Chile,2026,1300.5,1300.5,5.7,Americas,M,FC,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Católica del Uruguay (UCU),Uruguay,2026,925.5,925.5,18.2,Americas,S,CO,MD,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Católica San Antonio de Murcia (UCAM),Spain,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1494,12966,20.1,18,56,44,27.3155,19.1,18.2,35.1,39.2,57.4,THE only,THE record not matched in QS,FALSE,TRUE
Universidad Central de Venezuela - UCV,Venezuela (Bolivarian Republic of),2026,735.5,695.5,28.9,Americas,L,FC,MD,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Central Marta Abreu de Las Villas,Cuba,2026,1300.5,925.5,4.8,Americas,M,CO,HI,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad Cientifica del Sur,Peru,2026,1300.5,-1,6.1,Americas,L,FC,MD,Private for Profit,2032,20474,10,1,66,34,17.058,21.4,9.2,14.4,16.3,41.4,QS + THE,Matched,TRUE,TRUE
Universidad de Alcalá,Spain,2026,697,625.5,13.8,Europe,L,FC,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Alicante,Spain,2026,785.5,825.5,21.1,Europe,L,FC,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Antioquia,Colombia,2026,785.5,795.5,39.7,Americas,XL,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Belgrano,Argentina,2026,975.5,785.5,11.2,Americas,M,FO,MD,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Buenos Aires,Argentina,2026,84,71,98.1,Americas,XL,FC,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Cartagena,Colombia,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1511,24568,22.6,1,47,53,27.154,13.4,10,55.2,18.9,39.8,THE only,THE record not matched in QS,FALSE,TRUE
Universidad de Castilla-La Mancha,Spain,2026,1100.5,1100.5,10.7,Europe,L,FC,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Chile,Chile,2026,173,139,91.9,Americas,XL,FC,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Concepción,Chile,2026,613,635.5,36.8,Americas,L,FC,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Córdoba - España,Spain,2026,975.5,975.5,15.5,Europe,L,CO,VH,Not Available,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Costa Rica,Costa Rica,2026,499,497,46.4,Americas,XL,CO,HI,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Cuenca,Ecuador,2026,1401,1401,11.1,Americas,L,FC,MD,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Guadalajara (UDG),Mexico,2026,1100.5,1100.5,26.5,Americas,XL,FC,HI,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Guanajuato,Mexico,2026,1401,1401,11.4,Americas,XL,CO,HI,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de la Frontera (UFRO),Chile,2026,1300.5,1100.5,14.4,Americas,M,CO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de la Habana,Cuba,2026,825.5,695.5,19.9,Americas,L,FO,HI,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de la República (UdelaR),Uruguay,2026,650,665.5,40,Americas,XL,FC,HI,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de La Sabana,Colombia,2026,975.5,975.5,30.1,Americas,M,FC,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Las Américas (UDLA) Ecuador,Ecuador,2026,1300.5,1300.5,14.4,Americas,L,CO,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de las Américas Puebla (UDLAP),Mexico,2026,1100.5,1100.5,11.7,Americas,M,FC,MD,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de las Fuerzas Armadas – ESPE,Ecuador,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2168,28109,19.9,0,46,54,13.5015,13,8,12.8,21.1,35.5,THE only,THE record not matched in QS,FALSE,TRUE
Universidad de León,Spain,2026,1100.5,975.5,10.4,Europe,M,CO,VH,Not Available,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Lima,Peru,2026,1300.5,1100.5,14.1,Americas,L,SP,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de los Andes Chile,Chile,2026,925.5,975.5,25.3,Americas,M,FC,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Los Andes Colombia,Colombia,2026,212,179,81.5,Americas,L,FC,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de los Andes Mérida,Venezuela (Bolivarian Republic of),2026,1300.5,1100.5,20.2,Americas,L,FC,MD,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Monterrey,Mexico,2026,1300.5,1300.5,19.8,Americas,M,FO,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Montevideo,Uruguay,2026,825.5,745.5,24.9,Americas,S,FC,MD,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Oviedo,Spain,2026,925.5,1100.5,18.2,Europe,L,CO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Palermo,Argentina,2026,775.5,625.5,15.8,Americas,S,FO,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Panama,Panama,2026,1401,1300.5,8.5,Americas,XL,FO,MD,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Piura,Peru,2026,1401,1300.5,11.8,Americas,M,FO,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Universidad de Puerto Rico,Puerto Rico,2026,1100.5,1100.5,14.8,Americas,XL,FC,HI,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
