University_Name,Country,Year,QS_Rank,QS_Previous_Rank,QS_Academic_Reputation_Score,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,THE_Rank,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students_Pct,THE_Female_Ratio,THE_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,Data_Source,QS_THE_Match_Status,QS_Data_Available,THE_Data_Available
Ajou University,South Korea,2026,563,635.5,19.8,Asia,M,FC,VH,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Akdeniz Üniversitesi,Türkiye,2026,1401,1401,8.3,Asia,XL,FC,HI,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Akdeniz University,Turkey,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1271,39309,29.4,4,54,46,30.84,25.1,26.3,38.2,60.9,25.5,THE only,THE record not matched in QS,FALSE,TRUE
Akita University,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1850,5042,10.6,4,36,64,21.197,26.3,13.6,18.7,43.3,28.7,THE only,THE record not matched in QS,FALSE,TRUE
Aksaray University,Turkey,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2026,16810,16.4,10,56,44,17.1885,14.8,9.3,24.1,18.2,28.9,THE only,THE record not matched in QS,FALSE,TRUE
Al-Ahliyya Amman University,Jordan,2026,765.5,825.5,17.1,Asia,M,FO,VH,Private not for Profit,441,4510,14.8,64,52,48,48.361,18.6,24.7,88,56.9,93.8,QS + THE,Matched,TRUE,TRUE
Al Ain University,United Arab Emirates,2026,558,552,25.6,Asia,S,FO,VH,Private not for Profit,428,2588,11,61,51,49,48.8045,28,30.2,78.7,18.6,99.1,QS + THE,Matched,TRUE,TRUE
Al al-Bayt University,Jordan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,960,16331,24.7,3,62,38,36.198,14.7,11.1,80,18,52.3,THE only,THE record not matched in QS,FALSE,TRUE
Al Azhar University,Egypt,2026,1100.5,1100.5,21.5,Africa,XL,CO,VH,Public,970,281032,21.6,11,41,59,36.033,22.1,12.8,68,24.6,58.9,QS + THE,Matched,TRUE,TRUE
Al-Baha University,Saudi Arabia,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1246,17782,12.7,2,55,45,31.3925,19.5,9.1,54.9,21.9,75.4,THE only,THE record not matched in QS,FALSE,TRUE
Al-Balqa Applied University,Jordan,2026,1300.5,1300.5,10.2,Asia,L,FC,HI,Public,1140,24503,23.7,3,58,42,33.031,13.4,16.9,64.7,30.3,47.4,QS + THE,Matched,TRUE,TRUE
