Rank_QS,Previous Rank,Name_QS,Country/Territory,Region,Size,Focus,Research,Status,Academic Reputation SCORE,Academic Reputation  RANK,Employer Reputation SCORE,Employer Reputation RANK,Faculty Student Ratio SCORE,Faculty Student Ratio RANK,Citations per Faculty SCORE,Citations per Faculty RANK,International Faculty  SCORE,International Faculty  RANK,International Student SCORE,International student  RANK,International Students Diversity SCORE,International Students Diversity RANK,International Research Network SCORE,International Research Network RANK,Employment Outcomes SCORE,Employment Outcomes RANK,Sustainability SCORE,Sustainability RANK,Overall SCORE,Rank_THE,Name_THE,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
86,82,University of Leeds,United Kingdom,Europe,XL,FC,VH,Public,81.8,90,82.1,98,39.7,512,48.8,380,89.7,224,96.3,108.0,96.5,93.0,99.2,13.0,62.9,250,76.4,219=,72,118,University of Leeds,United Kingdom,35600,14.4,0.39,"2 days, 12:40:00",64.8795,48.3,50.3,87.2,71.6,93.6,2026
87,80,University of Southampton,United Kingdom,Europe,L,FC,VH,Public,62.6,163,55.9,214,40.1,504,87.8,111,96.8,153,98.6,82.0,98.6,69.0,97.4,32.0,58.6,279,95.1,23,71.2,129,University of Southampton,United Kingdom,24355,14.3,0.46,"2 days, 6:46:00",63.3345,44.6,45.4,89.6,73.1,96.1,2026
88,108,Boston University,United States of America,Americas,L,FC,VH,Private not for Profit,75.3,111,86.7,83,40.6,497,61.9,273,40.0,500,92.8,150.0,93.3,124.0,84.9,256.0,86.9,127,73.7,264,71.1,77,Boston University,United States,29239,11.4,0.33,"2 days, 10:42:00",70.365,61.2,56.5,91.8,72.4,73.2,2026
91,86,The University of Osaka,Japan,Asia,L,FC,VH,Public,90.5,67,90.0,73,45.6,430,65.8,242,25.2,649,21.1,709.0,27.2,651.0,72.0,500.0,51.4,330,79.5,180=,71,152,The University of Osaka,Japan,22367,10.4,0.12,33 : 67,61.8439999999999,65.9,64.9,53.3,100.0,47.9,2026
93,103,Uppsala University,Sweden,Europe,L,FC,VH,Public,74.7,113,48.1,268,66.3,260,55.9,318,99.7,106,82.9,207.0,84.5,174.0,95.9,60.0,82.9,145,94.4,26,70.3,128,Uppsala University,Sweden,20953,10.9,0.18,"2 days, 11:41:00",63.4564999999999,47.4,54.9,81.3,95.0,71.5,2026
94,89,Durham University,United Kingdom,Europe,L,FC,VH,Public,74.1,117,91.9,64,37.3,539,42.9,441,99.2,123,94.5,134.0,94.9,111.0,90.9,161.0,53.6,316,95.2,22,70.1,177,Durham University,United Kingdom,21470,13.2,0.34,"2 days, 6:46:00",60.262,45.2,44.9,81.0,62.8,94.6,2026
94,96,University of Alberta,Canada,Americas,XL,FC,VH,Public,70.9,133,53.0,230,44.6,443,71.5,204,99.4,119,78.6,229.0,80.6,199.0,94.5,90.0,77.1,169,90.7,58,70.1,119,University of Alberta,Canada,33938,21.6,0.28,,64.6105,49.1,55.4,78.1,100.0,88.4,2026
96,88,University of Technology Sydney,Australia,Oceania,L,CO,VH,Public,58.7,180,66.7,159,11.8,801,99.3,33,97.6,146,91.7,151.0,92.3,128.0,89.7,177.0,52.3,323,92.0,47,69.9,149,University of Technology Sydney,Australia,29729,37.7,0.26,"2 days, 3:49:00",61.9555,36.8,42.6,94.1,88.7,92.9,2026
98,111,Politecnico di Milano,Italy,Europe,XL,CO,VH,Public,83.4,84,90.1,72,9.3,801,53.9,343,74.4,317,69.3,281.0,72.3,252.0,87.0,215.0,72.0,199,72.9,275=,69.1,216,Politecnico di Milano,Italy,39793,21.8,0.23,36 : 64,57.8525,46.2,51.9,67.8,98.0,65.5,2026
101,100,University of Copenhagen,Denmark,Europe,XL,FC,VH,Public,85.5,79,41.7,324,99.6,34,36.6,512,87.3,241,26.5,640.0,19.9,765.0,98.0,22.0,94.4,77,76.3,221,68.4,90,University of Copenhagen,Denmark,31425,4.2,0.14,"2 days, 15:37:00",67.1184999999999,51.3,52.2,91.3,92.8,76.6,2026
102,98,Pohang University of Science And Technology (POSTECH),Republic of Korea,Asia,S,FO,VH,Private not for Profit,61.3,166,83.3,94,99.9,27,98.3,45,31.6,568,4.2,801.0,8.3,801.0,29.6,801.0,16.0,801,64.3,415=,67.9,142,Pohang University of Science and Technology (POSTECH),South Korea,3234,9.2,0.07,,62.306,58.3,49.5,79.2,100.0,39.9,2026
103,145,Nanjing University,China (Mainland),Asia,XL,FC,VH,Public,72.1,128,61.2,188,37.2,541,99.0,39,82.9,273,15.9,799.0,12.0,801.0,69.5,541.0,39.7,440,59.5,513,67.7,63,Nanjing University,China,34217,14.1,0.1,"2 days, 11:41:00",73.7139999999999,69.6,66.2,85.1,99.6,59.6,2026
105,94,Lomonosov Moscow State University,Russian Federation,Europe,L,FC,VH,Public,83.7,83,87.9,80,99.9,26,7.3,801,25.5,641,96.0,112.0,96.1,97.0,87.0,214.0,98.3,37,48.8,734=,67.6,133,Lomonosov Moscow State University,Russian Federation,31603,9.7,0.38,"2 days, 3:49:00",63.0545,80.9,69.7,32.9,93.4,71.6,2026
