Rank_QS,Previous Rank,Name_QS,Country/Territory,Region,Size,Focus,Research,Status,Academic Reputation SCORE,Academic Reputation  RANK,Employer Reputation SCORE,Employer Reputation RANK,Faculty Student Ratio SCORE,Faculty Student Ratio RANK,Citations per Faculty SCORE,Citations per Faculty RANK,International Faculty  SCORE,International Faculty  RANK,International Student SCORE,International student  RANK,International Students Diversity SCORE,International Students Diversity RANK,International Research Network SCORE,International Research Network RANK,Employment Outcomes SCORE,Employment Outcomes RANK,Sustainability SCORE,Sustainability RANK,Overall SCORE,Rank_THE,Name_THE,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
628,601-610,University of Crete,Greece,Europe,L,FC,HI,Public,19.3,639,17.8,701,3.9,801,69.6,219,2.7,801,7.2,801.0,12.0,801.0,61.9,664.0,4.5,801,40.6,801,27.4,649,University of Crete,Greece,12551,22.7,0.05,"2 days, 16:36:00",42.3925,24.7,29.1,68.5,66.3,46.2,2026
635,621-630,Tallinn University of Technology,Estonia,Europe,M,FO,VH,Public,16.2,701,18.6,694,33.5,581,23.5,665,53.2,425,26.8,635.0,32.8,578.0,81.2,326.0,50.5,341,43.0,801,27.2,672,Tallinn University of Technology,Estonia,7451,13.2,0.12,40 : 60,41.898,26.2,24.9,66.0,69.2,58.4,2026
635,631-640,University of Portsmouth,United Kingdom,Europe,L,CO,VH,Public,10.9,701,13.1,701,12.0,801,27.8,607,80.1,297,90.7,160.0,91.4,135.0,81.5,322.0,13.5,801,62.6,448,27.2,448,University of Portsmouth,United Kingdom,22370,15.9,0.36,"2 days, 0:52:00",48.0605,22.0,20.1,88.7,51.1,94.5,2026
638,576,Southern Cross University,Australia,Oceania,M,CO,VH,Public,6.0,701,4.3,701,3.9,801,55.5,322,92.7,203,62.6,322.0,66.2,296.0,61.1,677.0,6.2,801,65.9,385=,27.1,499,Southern Cross University,Australia,8883,43.0,0.22,"2 days, 21:31:00",46.3175,24.4,29.9,72.8,66.9,79.1,2026
638,570,"University of Chemistry and Technology, Prague",Czechia,Europe,S,FO,VH,Public,8.2,701,12.2,701,99.5,38,19.2,727,33.7,547,85.4,194.0,86.7,164.0,32.0,801.0,9.4,801,43.4,801,27.1,1342,"University of Chemistry and Technology, Prague",Czechia,4505,8.8,0.29,"2 days, 9:43:00",29.6165,37.3,14.7,26.9,55.0,54.4,2026
642,539,University of Fribourg,Switzerland,Europe,M,CO,VH,Public,13.6,701,5.5,701,14.1,801,27.3,615,99.9,98,52.5,392.0,51.2,405.0,60.4,687.0,49.6,349,66.8,367,27,423,University of Fribourg,Switzerland,6817,14.8,0.17,"2 days, 17:35:00",49.0299999999999,39.1,33.8,62.4,71.9,81.3,2026
643,631-640,Inha University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,17.5,699,19.9,659,74.7,198,23.8,661,17.7,752,25.7,650.0,29.4,622.0,28.1,801.0,17.1,779,64.7,405=,26.9,880,Inha University,South Korea,14163,17.0,0.08,"1 day, 19:57:00",37.5615,31.6,28.2,46.2,83.6,38.1,2026
643,601-610,Manchester Metropolitan University,United Kingdom,Europe,XL,CO,VH,Public,18.8,654,16.4,701,11.4,801,16.8,766,63.1,369,61.4,331.0,65.2,302.0,89.0,189.0,19.2,741,78.0,195=,26.9,620,Manchester Metropolitan University,United Kingdom,33935,18.1,0.22,"2 days, 10:42:00",43.214,20.8,19.5,78.3,42.7,83.0,2026
643,661-670,University of Manitoba,Canada,Americas,L,FC,VH,Public,19.2,643,20.0,657,31.8,604,22.6,675,,,68.4,287.0,71.5,257.0,70.0,532.0,39.5,442,55.7,582=,26.9,564,University of Manitoba,Canada,26170,13.7,0.24,"2 days, 6:46:00",44.8375,29.5,25.1,72.9,61.4,60.4,2026
648,761-770,King Faisal University,Saudi Arabia,Asia,L,FC,HI,Public,25.3,506,29.8,476,24.5,743,6.3,801,99.4,121,11.0,801.0,14.9,801.0,66.0,609.0,14.9,801,54.3,617=,26.8,700,King Faisal University,Saudi Arabia,22366,10.4,0.06,"2 days, 17:35:00",41.45,25.6,14.8,73.7,40.4,78.4,2026
650,691-700,University of Brescia,Italy,Europe,M,FO,VH,Public,7.3,701,4.1,701,8.7,801,85.0,124,2.0,801,8.5,801.0,14.2,801.0,58.8,710.0,11.6,801,63.9,425=,26.7,391,University of Brescia,Italy,10190,24.3,0.05,"2 days, 4:48:00",50.126,35.4,24.7,88.0,72.0,43.2,2026
654,641-650,De La Salle University,Philippines,Asia,L,CO,HI,Private not for Profit,32.7,374,58.6,197,9.6,801,6.8,801,2.8,801,3.5,801.0,7.8,801.0,27.3,801.0,60.7,266,44.1,801,26.6,1822,De La Salle University,Philippines,22790,18.5,0.02,"2 days, 3:49:00",21.619,18.3,12.6,31.4,24.1,29.1,2026
654,721-730,Konkuk University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,11.6,701,12.8,701,61.3,292,34.1,537,16.2,774,43.9,458.0,49.1,424.0,52.5,799.0,14.7,801,61.8,460=,26.6,559,Konkuk University,South Korea,11274,25.4,0.22,,45.0345,34.2,38.8,50.2,96.4,63.7,2026
654,621-630,University of South Florida,United States of America,Americas,XL,CO,VH,Public,17.4,701,20.4,646,13.8,801,36.7,507,14.3,801,41.4,480.0,46.7,444.0,81.9,314.0,13.5,801,66.4,371=,26.6,383,University of South Florida,United States,40449,18.0,0.16,,50.3245,33.6,35.5,71.0,99.5,64.5,2026
660,671-680,Bar-Ilan University,Israel,Asia,L,FC,VH,Public,11.0,701,14.3,701,10.4,801,59.4,293,54.4,416,4.9,801.0,3.9,801.0,53.2,792.0,33.1,511,41.7,801,26.5,715,Bar-Ilan University,Israel,19887,20.6,0.04,"2 days, 10:42:00",40.939,33.8,34.8,52.6,65.9,32.8,2026
660,661-670,Memorial University of Newfoundland,Canada,Americas,L,FC,VH,Public,10.7,701,10.5,701,15.7,801,43.7,431,30.7,581,78.5,230.0,80.6,200.0,73.6,479.0,17.4,773,53.3,636=,26.5,527,Memorial University of Newfoundland,Canada,16376,15.3,0.29,"2 days, 6:46:00",45.7005,30.3,25.7,65.2,82.1,86.2,2026
664,711-720,COMSATS University Islamabad,Pakistan,Asia,XL,CO,VH,Public,17.0,701,35.8,403,17.0,801,36.8,506,1.4,801,1.6,801.0,6.0,801.0,87.3,212.0,8.3,801,62.7,444=,26.4,658,COMSATS University Islamabad,Pakistan,33193,15.8,0.01,39 : 61,42.1595,19.8,16.9,86.2,43.5,50.9,2026
668,631-640,Chang Gung University,Taiwan,Asia,M,FO,VH,Private not for Profit,9.3,701,6.6,701,74.6,200,58.2,298,7.9,801,9.5,801.0,13.2,801.0,25.5,801.0,2.1,801,48.8,734=,26.3,805,Chang Gung University,Taiwan,7142,12.4,0.05,"2 days, 3:49:00",38.972,25.8,35.3,50.2,96.1,29.6,2026
668,641-650,Lehigh University,United States of America,Americas,M,CO,VH,Private not for Profit,7.2,701,12.4,701,30.5,625,37.1,501,68.9,339,40.0,490.0,45.4,459.0,44.9,801.0,45.4,385,61.5,467=,26.3,625,Lehigh University,United States,6933,11.6,0.16,"1 day, 22:54:00",42.958,33.8,22.7,61.2,67.6,71.2,2026
673,641-650,East China University of Science and Technology,China (Mainland),Asia,XL,CO,VH,Public,9.1,701,10.3,701,15.4,801,82.5,140,3.3,801,2.5,801.0,2.1,801.0,43.5,801.0,12.5,801,40.2,801,26.2,657,East China University of Science and Technology,China,32389,19.0,0.02,"1 day, 19:57:00",42.1849999999999,31.1,29.1,63.3,96.6,22.9,2026
673,701-710,Stevens Institute of Technology,United States of America,Americas,M,FO,VH,Private not for Profit,4.0,701,10.0,701,8.4,801,60.9,282,54.1,418,98.7,79.0,98.2,73.0,21.7,801.0,13.5,801,46.7,799=,26.2,520,Stevens Institute of Technology,United States,7887,20.8,0.4,29 : 71,45.762,27.6,25.2,72.2,67.8,79.2,2026
676,641-650,Beirut Arab University,Lebanon,Asia,S,FC,HI,Private not for Profit,20.0,614,22.2,597,28.8,661,7.6,801,94.8,180,61.1,334.0,56.5,362.0,29.6,801.0,44.1,401,42.1,801,26.1,799,Beirut Arab University,Lebanon,4167,10.4,0.21,"1 day, 21:55:00",39.079,43.0,17.3,46.3,21.8,88.2,2026
676,721-730,Jadavpur University,India,Asia,M,FO,VH,Public,23.2,544,10.5,701,13.7,801,55.8,319,,,1.1,801.0,5.5,801.0,44.0,801.0,19.5,733,61.4,470,26.1,1172,Jadavpur University,India,12547,19.0,0.0,32 : 68,32.5865,36.6,15.9,45.0,53.9,20.3,2026
678,671-680,University of Haifa,Israel,Asia,L,CO,VH,Public,17.4,701,13.0,701,15.8,801,44.8,417,17.8,751,6.7,801.0,5.2,801.0,69.6,539.0,29.6,554,67.4,360,26,607,University of Haifa,Israel,16297,17.5,0.03,"2 days, 18:34:00",43.555,29.6,31.2,68.6,65.0,34.6,2026
680,761-770,Nanjing University of Aeronautics and Astronautics,China (Mainland),Asia,L,FO,VH,Public,6.3,701,10.9,701,26.4,707,79.7,158,7.2,801,8.8,801.0,6.8,801.0,46.2,801.0,1.3,801,37.0,801,25.9,698,Nanjing University of Aeronautics and Astronautics,China,36035,15.4,0.02,,41.4785,30.2,35.4,54.9,98.4,25.3,2026
680,641-650,Ritsumeikan University,Japan,Asia,XL,CO,HI,Private not for Profit,25.7,493,61.5,187,10.3,801,5.0,801,36.5,525,17.8,766.0,23.9,704.0,41.1,801.0,4.8,801,64.4,413=,25.9,1617,Ritsumeikan University,Japan,35919,18.0,0.1,37 : 63,25.378,20.7,16.2,28.4,63.4,46.9,2026
680,801-850,University of Brawijaya,Indonesia,Asia,XL,FC,HI,Public,30.1,404,55.3,218,20.4,801,1.9,801,35.9,531,2.7,801.0,6.9,801.0,27.3,801.0,29.1,567,53.3,636=,25.9,1756,University of Brawijaya,Indonesia,47186,16.1,0.04,"2 days, 12:40:00",23.0455,24.9,13.3,23.7,36.2,43.8,2026
684,661-670,Comenius University Bratislava,Slovakia,Europe,L,FC,HI,Public,16.8,701,14.7,701,61.3,293,6.9,801,8.4,801,39.0,504.0,44.5,469.0,68.8,549.0,87.0,126,43.7,801,25.8,1326,Comenius University Bratislava,Slovakia,22226,10.4,0.17,"2 days, 17:35:00",29.9305,29.4,17.0,37.2,30.0,52.9,2026
684,711-720,Ton Duc Thang University,Viet Nam,Asia,L,CO,VH,Public,6.1,701,13.3,701,8.6,801,74.8,180,7.7,801,2.0,801.0,6.3,801.0,88.1,200.0,6.8,801,43.9,801,25.8,764,Ton Duc Thang University,Vietnam,27459,16.3,0.02,"2 days, 9:43:00",39.782,15.8,12.2,85.9,27.2,63.0,2026
686,,Cyprus University of Technology,Cyprus,Asia,S,CO,VH,Public,8.1,701,4.9,701,49.3,389,39.8,472,68.1,343,42.0,474.0,43.4,478.0,46.6,801.0,11.3,801,49.6,711=,25.7,555,Cyprus University of Technology,Cyprus,3377,15.8,0.15,"2 days, 10:42:00",45.0689999999999,28.9,25.6,75.1,36.3,68.5,2026
688,951-1000,Baku State University,Azerbaijan,Asia,L,CO,HI,Public,22.0,566,20.1,654,94.0,85,1.9,801,13.4,801,7.0,801.0,11.2,801.0,22.1,801.0,64.1,243,43.3,801,25.6,1791,Baku State University,Azerbaijan,19165,12.1,0.05,"2 days, 12:40:00",22.4135,30.1,10.1,21.2,21.0,45.4,2026
688,576,Tomsk Polytechnic University,Russian Federation,Europe,M,FO,VH,Public,9.4,701,15.4,701,96.0,67,7.0,801,14.8,801,88.8,179.0,83.9,178.0,60.4,686.0,2.0,801,47.7,765=,25.6,967,Tomsk Polytechnic University,Russian Federation,9179,11.0,0.35,33 : 67,36.0819999999999,40.9,25.1,29.8,63.5,70.1,2026
691,611-620,Eastern Mediterranean University,Northern Cyprus,Asia,L,FC,HI,Public,9.2,701,4.5,701,5.6,801,31.3,571,77.1,311,100.0,19.0,100.0,13.0,51.3,801.0,53.6,315,45.4,801,25.4,763,Eastern Mediterranean University,Northern Cyprus,14696,23.3,0.72,"2 days, 0:52:00",39.8354999999999,20.2,12.7,77.2,30.9,77.3,2026
691,691-700,Universidade Federal do Rio Grande Do Sul,Brazil,Americas,XL,FC,VH,Public,36.8,327,9.2,701,20.0,801,15.7,788,3.8,801,2.4,801.0,7.0,801.0,80.5,344.0,32.3,525,63.9,425=,25.4,796,Universidade Federal do Rio Grande do Sul,Brazil,40018,14.4,0.01,"2 days, 4:48:00",39.2215,38.9,23.2,53.6,56.7,35.6,2026
695,601-610,Rensselaer Polytechnic Institute,United States of America,Americas,M,CO,VH,Private not for Profit,10.2,701,17.9,701,28.7,662,54.7,330,,,34.4,547.0,25.7,675.0,25.8,801.0,41.3,423,38.7,801,25.3,517,Rensselaer Polytechnic Institute,United States,6873,14.6,0.16,31 : 69,45.8455,38.9,27.9,58.1,85.1,72.6,2026
697,701-710,Beijing University of Chemical Technology,China (Mainland),Asia,L,CO,VH,Public,6.1,701,7.2,701,28.6,668,81.5,149,3.2,801,2.5,801.0,7.1,801.0,36.6,801.0,2.8,801,40.5,801,25.1,451,Beijing University of Chemical Technology,China,26260,18.5,0.01,40 : 60,48.0089999999999,26.4,31.8,84.2,96.6,25.0,2026
697,611-620,University of Klagenfurt,Austria,Europe,S,CO,VH,Public,7.2,701,5.8,701,57.4,318,16.4,777,98.2,138,94.8,127.0,95.2,108.0,43.9,801.0,13.6,801,36.3,801,25.1,637,University of Klagenfurt,Austria,3377,8.7,0.33,"2 days, 18:34:00",42.6369999999999,34.4,19.6,60.5,49.5,89.0,2026
701-710,781-790,Kasetsart University,Thailand,Asia,XL,CO,VH,Public,37.4,320,37.1,383,10.3,801,4.6,801,7.7,801,1.7,801.0,6.2,801.0,46.2,801.0,31.2,534,60.8,491=,-,1773,Kasetsart University,Thailand,69827,17.3,0.01,"2 days, 13:39:00",22.782,18.8,15.9,27.8,41.5,35.0,2026
701-710,691-700,Shiraz University,Iran (Islamic Republic of),Asia,L,CO,VH,Public,10.2,701,10.9,701,6.0,801,68.3,228,1.2,801,4.3,801.0,8.0,801.0,68.1,565.0,23.4,664,45.7,801,-,886,Shiraz University,Iran,14298,19.7,0.03,"2 days, 7:45:00",37.5069999999999,27.4,26.0,56.3,62.6,33.2,2026
701-710,691-700,Universidad Panamericana (UP),Mexico,Americas,L,FO,HI,Private not for Profit,15.9,701,34.4,419,81.2,162,1.7,801,24.5,655,5.0,801.0,4.0,801.0,14.3,801.0,73.5,191,36.2,801,-,1995,Universidad Panamericana (UP),Mexico,17141,7.6,0.02,"2 days, 3:49:00",17.935,24.5,9.2,12.5,19.3,46.9,2026
701-710,741-750,University of Central Florida,United States of America,Americas,XL,FC,VH,Public,18.6,659,37.1,384,4.1,801,33.0,553,13.2,801,7.7,801.0,6.0,801.0,73.7,475.0,17.4,775,45.9,801,-,478,University of Central Florida,United States,61009,30.8,0.05,"2 days, 9:43:00",46.9885,29.1,32.8,77.2,74.3,36.8,2026
701-710,651-660,University of Zagreb,Croatia,Europe,XL,FC,VH,Public,23.2,545,12.8,701,26.8,700,8.1,801,1.9,801,5.1,801.0,10.0,801.0,92.1,145.0,98.4,34,60.9,486=,-,1269,University of Zagreb,Croatia,62046,15.8,0.04,"2 days, 13:39:00",30.8684999999999,27.6,19.1,41.8,57.5,31.3,2026
711-720,721-730,Budapest University of Technology and Economics,Hungary,Europe,L,FO,VH,Public,20.8,595,37.5,375,18.6,801,15.3,800,4.6,801,22.7,691.0,28.8,629.0,60.0,691.0,37.8,460,57.9,545,-,1462,Budapest University of Technology and Economics,Hungary,18656,16.3,0.15,32 : 68,27.9025,23.0,18.4,34.2,65.1,38.9,2026
711-720,721-730,Drexel University,United States of America,Americas,L,FC,VH,Private not for Profit,8.9,701,11.2,701,30.2,630,36.9,503,31.3,572,37.4,521.0,43.0,483.0,68.8,552.0,35.3,487,48.7,737=,-,421,Drexel University,United States,18893,12.2,0.15,"2 days, 4:48:00",49.066,42.4,25.5,72.1,74.7,60.6,2026
711-720,681-690,"Goldsmiths, University of London",United Kingdom,Europe,M,FO,VH,Public,18.3,668,7.5,701,20.8,801,17.0,765,89.1,230,97.8,93.0,97.9,82.0,22.7,801.0,25.2,637,43.0,801,-,575,"Goldsmiths, University of London",United Kingdom,8195,13.8,0.48,"2 days, 21:31:00",44.506,28.2,23.5,71.2,48.8,80.8,2026
711-720,595,ITMO University,Russian Federation,Europe,L,FO,VH,Public,12.7,701,17.4,701,92.6,89,11.0,801,27.2,621,44.5,453.0,49.7,418.0,60.1,689.0,3.9,801,26.6,801,-,1018,ITMO University,Russian Federation,14352,17.8,0.17,32 : 68,35.1055,30.4,29.9,33.0,80.6,57.9,2026
721-730,,Prince Sattam Bin Abdulaziz University,Saudi Arabia,Asia,L,FO,VH,Public,6.4,701,3.1,701,69.3,237,19.6,720,99.6,109,15.5,801.0,18.4,789.0,93.6,109.0,3.0,801,36.3,801,-,440,Prince Sattam Bin Abdulaziz University,Saudi Arabia,24820,10.8,0.06,"2 days, 19:33:00",48.3704999999999,25.4,28.8,80.8,57.7,79.7,2026
721-730,701-710,Taras Shevchenko National University of Kyiv,Ukraine,Europe,L,CO,VH,Public,21.9,567,50.1,254,30.7,619,3.9,801,1.7,801,3.7,801.0,8.2,801.0,37.6,801.0,72.0,200,37.9,801,-,1803,Taras Shevchenko National University of Kyiv,Ukraine,25696,11.2,0.05,"2 days, 8:44:00",22.1989999999999,25.7,15.4,22.4,28.6,30.5,2026
721-730,681-690,Temple University,United States of America,Americas,L,FC,VH,Public,16.8,701,15.0,701,37.9,534,24.6,647,4.4,801,11.6,801.0,17.5,801.0,64.7,625.0,38.7,447,72.1,291=,-,417,Temple University,United States,30684,11.3,0.06,"2 days, 9:43:00",49.19,43.2,22.6,79.9,70.8,41.2,2026
721-730,761-770,University of Patras,Greece,Europe,L,FC,VH,Public,16.8,701,25.7,527,4.2,801,44.3,425,2.3,801,9.2,801.0,14.3,801.0,66.2,606.0,4.7,801,65.3,392,-,983,University of Patras,Greece,28311,27.5,0.06,"2 days, 3:49:00",35.7945,18.5,23.6,60.0,73.2,34.2,2026
721-730,741-750,UWE Bristol (University of the West of England),United Kingdom,Europe,XL,CO,HI,Public,10.6,701,15.1,701,8.9,801,25.2,633,66.1,354,88.9,176.0,89.9,150.0,72.4,493.0,4.2,801,53.3,636=,-,747,UWE Bristol (University of the West of England),United Kingdom,30220,16.4,0.29,"2 days, 4:48:00",40.228,18.8,14.6,73.3,59.2,81.2,2026
731-740,631-640,Far Eastern Federal University,Russian Federation,Europe,L,CO,HI,Public,13.9,701,9.5,701,98.7,47,2.6,801,16.7,769,79.3,226.0,80.5,204.0,48.0,801.0,7.1,801,37.5,801,-,1664,Far Eastern Federal University,Russian Federation,18054,15.6,0.21,"2 days, 11:41:00",24.59,29.1,18.4,16.4,30.3,60.5,2026
731-740,681-690,Princess Nourah bint Abdulrahman University,Saudi Arabia,Asia,L,CO,VH,Public,18.3,666,24.1,561,28.7,664,7.2,801,83.8,264,31.3,575.0,35.9,537.0,74.6,452.0,2.8,801,49.8,706=,-,504,Princess Nourah bint Abdulrahman University,Saudi Arabia,20015,11.0,0.12,"4 days, 4:00:00",46.2145,29.3,21.8,78.5,33.1,85.0,2026
731-740,781-790,Texas Tech University,United States of America,Americas,XL,FC,HI,Public,14.5,701,26.9,509,10.0,801,18.8,739,63.8,364,17.4,777.0,23.5,714.0,70.6,517.0,28.1,591,66.1,376=,-,756,Texas Tech University,United States,37631,20.8,0.08,"2 days, 2:50:00",39.9905,31.6,22.0,57.8,64.4,58.3,2026
741-750,661-670,Aberystwyth University,United Kingdom,Europe,M,CO,VH,Public,12.8,701,11.5,701,27.6,687,23.9,658,61.3,382=,42.0,475.0,45.4,457.0,63.3,646.0,11.0,801,63.1,439=,-,686,Aberystwyth University,United Kingdom,6330,15.1,0.21,"2 days, 4:48:00",41.66,26.9,22.2,61.9,62.1,83.1,2026
741-750,721-730,Brandeis University,United States of America,Americas,M,CO,VH,Private not for Profit,12.8,701,9.7,701,50.2,381,25.0,638,33.0,554,83.4,201.0,62.1,322.0,24.7,801.0,30.5,544,28.8,801,-,445,Brandeis University,United States,4949,10.8,0.34,"2 days, 8:44:00",48.1299999999999,37.3,26.1,70.0,64.5,79.7,2026
741-750,751-760,Kaunas University of Technology,Lithuania,Europe,M,FO,VH,Public,15.1,701,22.0,602,37.9,533,17.5,761,4.8,801,40.0,489.0,45.4,458.0,68.6,556.0,29.0,570,58.9,521=,-,1078,Kaunas University of Technology,Lithuania,7308,13.0,0.11,34 : 66,34.0819999999999,25.2,19.9,52.8,46.8,42.2,2026
741-750,711-720,Plekhanov Russian University of Economics,Russian Federation,Europe,L,FO,VH,Public,15.5,701,30.1,474,57.8,314,3.3,801,4.1,801,26.7,636.0,31.7,595.0,61.2,674.0,55.2,300,42.4,801,-,1737,Plekhanov Russian University of Economics,Russian Federation,13681,8.5,0.14,"2 days, 7:45:00",23.5099999999999,26.8,13.3,25.0,23.3,44.2,2026
741-750,801-850,Syracuse University,United States of America,Americas,L,CO,VH,Private not for Profit,17.0,701,18.3,699,16.1,801,17.0,763,25.2,648,45.5,443.0,50.5,410.0,56.7,742.0,58.0,285,60.9,486=,-,460,Syracuse University,United States,21104,15.4,0.21,"2 days, 6:46:00",47.6219999999999,35.5,27.9,71.1,64.4,68.7,2026
741-750,801-850,University of Baghdad,Iraq,Asia,XL,FC,VH,Public,18.1,675,41.2,330,31.1,614,2.5,801,2.8,801,1.2,801.0,1.1,801.0,69.0,545.0,85.6,134,43.4,801,-,1720,University of Baghdad,Iraq,75593,11.2,0.0,"2 days, 12:40:00",23.7724999999999,28.3,14.8,28.2,29.3,20.0,2026
741-750,751-760,University of Malta,Malta,Europe,M,FC,VH,Public,9.3,701,7.4,701,47.7,408,10.1,801,33.1,551,42.2,472.0,47.5,436.0,76.8,409.0,98.1,40,38.2,801,-,926,University of Malta,Malta,9650,11.8,0.18,"2 days, 13:39:00",36.7905,24.9,18.2,61.6,36.8,56.2,2026
741-750,751-760,University of Messina,Italy,Europe,L,FC,VH,Public,12.6,701,2.9,701,18.6,801,55.5,323,1.4,801,17.8,767.0,23.9,706.0,78.6,375.0,1.6,801,61.5,467=,-,538,University of Messina,Italy,14308,22.7,0.06,"2 days, 15:37:00",45.508,35.6,28.1,71.8,64.3,36.6,2026
741-750,741-750,Victoria University,Australia,Oceania,L,CO,HI,Public,9.2,701,10.1,701,3.4,801,48.7,381,23.6,667,74.6,256.0,77.1,225.0,48.9,801.0,9.7,801,59.3,514=,-,597,Victoria University,Australia,14540,29.4,0.25,"2 days, 11:41:00",43.8669999999999,22.9,24.7,74.5,55.9,71.5,2026
741-750,741-750,Vytautas Magnus University,Lithuania,Europe,M,FO,VH,Public,14.0,701,19.9,658,44.2,447,5.0,801,46.8,455,70.8,270.0,73.5,244.0,62.8,653.0,26.8,611,47.0,789=,-,1467,Vytautas Magnus University,Lithuania,8381,10.6,0.19,"2 days, 23:29:00",27.8629999999999,23.7,12.9,36.9,21.2,69.5,2026
751-760,801-850,University of Oregon,United States of America,Americas,L,CO,VH,Public,23.2,543,22.5,592,14.7,801,25.3,632,10.5,801,5.4,801.0,4.3,801.0,53.8,785.0,36.9,470,55.7,582=,-,458,University of Oregon,United States,22659,13.7,0.05,"2 days, 11:41:00",47.7035,34.7,30.0,75.7,73.8,41.4,2026
751-760,721-730,University of Trieste,Italy,Europe,L,FC,VH,Public,16.1,701,7.8,701,5.5,801,53.8,345,11.6,801,16.8,783.0,22.9,721.0,70.8,514.0,18.7,746,36.4,801,-,509,University of Trieste,Italy,18016,24.3,0.08,"2 days, 10:42:00",45.993,34.3,27.7,72.4,57.6,50.9,2026
761-770,801-850,Al-Ahliyya Amman University,Jordan,Asia,M,FO,VH,Private not for Profit,17.1,701,21.0,625,15.8,801,6.4,801,93.7,196,100.0,29.0,98.0,79.0,32.7,801.0,6.0,801,38.2,801,-,441,Al-Ahliyya Amman University,Jordan,4510,14.8,0.64,"2 days, 4:48:00",48.3609999999999,18.6,24.7,88.0,56.9,93.8,2026
761-770,761-770,Bangladesh University of Engineering and Technology,Bangladesh,Asia,M,SP,VH,Public,21.3,582,42.5,316,15.6,801,30.8,578,,,,,,,23.0,801.0,29.9,551,30.0,801,-,1032,Bangladesh University of Engineering and Technology,Bangladesh,5814,11.3,0.0,0.9708333333333333,34.891,23.1,15.2,65.4,38.4,33.5,2026
761-770,,Kaohsiung Medical University,Taiwan,Asia,M,FO,VH,Private for Profit,8.4,701,6.0,701,46.9,423,58.6,294,11.2,801,7.4,801.0,11.1,801.0,26.1,801.0,4.1,801,51.7,667=,-,866,Kaohsiung Medical University,Taiwan,6621,12.6,0.05,"2 days, 11:41:00",37.7789999999999,26.6,34.3,46.9,89.0,31.4,2026
761-770,721-730,Riga Technical University,Latvia,Europe,M,CO,VH,Public,12.6,701,31.9,449,31.7,606,6.0,801,22.1,686,84.9,195.0,86.3,165.0,38.2,801.0,40.5,432,47.6,770=,-,1174,Riga Technical University,Latvia,10472,31.7,0.33,35 : 65,32.5725,27.1,25.3,33.6,56.4,65.4,2026
761-770,731-740,University of Belgrade,Serbia,Europe,XL,FC,VH,Public,23.6,536,14.0,701,6.5,801,10.1,801,3.6,801,7.4,801.0,5.8,801.0,94.5,91.0,98.4,36,52.1,661=,-,1069,University of Belgrade,Serbia,91512,18.1,0.05,"2 days, 13:39:00",34.25,22.6,27.3,50.9,31.9,41.6,2026
761-770,801-850,University of Bucharest,Romania,Europe,XL,CO,VH,Public,21.1,590,35.9,400,9.0,801,8.3,801,3.5,801,4.8,801.0,10.0,801.0,72.3,495.0,67.9,226,60.8,491=,-,1066,University of Bucharest,Romania,31127,32.1,0.02,"2 days, 22:30:00",34.2785,21.6,24.1,58.4,27.0,30.9,2026
761-770,,University of Nizwa,Oman,Asia,S,CO,VH,Private not for Profit,11.0,701,12.8,701,47.5,412,13.0,801,100.0,32,26.2,642.0,27.0,653.0,26.1,801.0,73.5,190,19.0,801,-,500,University of Nizwa,Oman,3498,8.9,0.11,"3 days, 5:23:00",46.2744999999999,28.1,26.0,76.2,34.0,83.0,2026
761-770,851-900,"Vietnam National University, Hanoi",Viet Nam,Asia,XL,CO,HI,Public,24.3,525,33.0,435,9.2,801,4.3,801,6.6,801,1.3,801.0,1.3,801.0,68.3,562.0,68.7,223,69.4,323=,-,1357,"Vietnam National University, Hanoi",Vietnam,67238,18.9,0.0,"2 days, 13:39:00",29.387,17.7,11.5,54.6,28.2,44.3,2026
771-780,771-780,Holy Spirit University of Kaslik,Lebanon,Asia,M,FO,HI,Private not for Profit,11.1,701,20.7,637,70.4,226,3.8,801,99.4,117,52.2,397.0,53.4,383.0,9.6,801.0,7.3,801,38.0,801,-,1454,Holy Spirit University of Kaslik,Lebanon,7374,13.0,0.14,"2 days, 7:45:00",28.0084999999999,23.0,9.9,38.5,19.5,80.3,2026
771-780,731-740,Rovira i Virgili University,Spain,Europe,L,FC,VH,Public,9.5,701,4.5,701,19.9,801,48.0,388,9.8,801,28.4,610.0,34.4,559.0,82.2,309.0,1.8,801,65.0,398=,-,714,Rovira i Virgili University,Spain,14226,13.2,0.12,"2 days, 12:40:00",40.9679999999999,28.2,25.1,62.5,57.5,57.6,2026
781-790,801-850,Alexandria University,Egypt,Africa,XL,FC,VH,Public,32.7,376,24.2,555,7.2,801,3.5,801,1.9,801,13.6,801.0,19.0,780.0,80.7,341.0,33.0,514,56.6,568=,-,980,Alexandria University,Egypt,186461,17.6,0.07,"2 days, 5:47:00",35.8275,20.7,18.2,63.5,31.7,55.0,2026
