university_name,country,year,ranking_source,rank,score,university_name_std,country_std,rank_original,score_original,rank_normalized,score_normalized
University of Chile,Chile,2026,THE,1058.0,34.5295,university of chile,chile,1058,34.5295,51.735159817351594,27.58312863901019
PalackÃ½ University Olomouc,Czechia,2026,THE,1059.0,34.4535,palackã½ university olomouc,czechia,1059,34.4535,51.68949771689497,27.496702147016013
University of Camerino (Unicam),Italy,2026,THE,1060.0,34.441,university of camerino (unicam),italy,1060,34.441,51.64383561643836,27.48248726346434
Technische UniversitÃ¤t Ilmenau,Germany,2026,THE,1061.0,34.44,technische universitã¤t ilmenau,germany,1061,34.44,51.598173515981735,27.481350072780202
BRAC University,Bangladesh,2026,THE,1062.0,34.4115,brac university,bangladesh,1062,34.4115,51.55251141552512,27.448940138282385
University of Algarve,Portugal,2026,THE,1063.0,34.319,university of algarve,portugal,1063,34.319,51.50684931506849,27.343750000000007
University of Lancashire,United Kingdom,2026,THE,1064.0,34.3055,university of lancashire,united kingdom,1064,34.3055,51.46118721461187,27.328397925764197
Shantou University,China,2026,THE,1065.0,34.28,shantou university,china,1065,34.28,51.415525114155244,27.299399563318783
University of Bucharest,Romania,2026,THE,1066.0,34.2785,university of bucharest,romania,1066,34.2785,51.369863013698634,27.29769377729258
"University of Technology, Iraq",Iraq,2026,THE,1067.0,34.254,"university of technology, iraq",iraq,1067,34.254,51.32420091324201,27.269832605531295
Florida Agricultural and Mechanical University,United States,2026,THE,1068.0,34.253,florida agricultural and mechanical university,united states,1068,34.253,51.27853881278539,27.268695414847162
University of Belgrade,Serbia,2026,THE,1069.0,34.25,university of belgrade,serbia,1069,34.25,51.23287671232877,27.265283842794762
Ateneo de Manila University,Philippines,2026,THE,1070.0,34.245,ateneo de manila university,philippines,1070,34.245,51.18721461187214,27.25959788937409
Jaume I University,Spain,2026,THE,1071.0,34.2429999999999,jaume i university,spain,1071,34.2429999999999,51.141552511415526,27.257323508005715
European University of Madrid,Spain,2026,THE,1072.0,34.2285,european university of madrid,spain,1072,34.2285,51.0958904109589,27.240834243085878
GdaÅ„sk University of Technology,Poland,2026,THE,1073.0,34.198,gdaå„sk university of technology,poland,1073,34.198,51.05022831050229,27.206149927219798
Indian Institute of Technology Mandi,India,2026,THE,1074.0,34.1539999999999,indian institute of technology mandi,india,1074,34.1539999999999,51.00456621004567,27.156113537117786
CY Cergy Paris University,France,2026,THE,1075.0,34.1509999999999,cy cergy paris university,france,1075,34.1509999999999,50.95890410958904,27.152701965065383
University of East London,United Kingdom,2026,THE,1076.0,34.0995,university of east london,united kingdom,1076,34.0995,50.91324200913242,27.094136644832606
Shanghai Normal University,China,2026,THE,1077.0,34.098,shanghai normal university,china,1077,34.098,50.8675799086758,27.092430858806406
