university_name,country,year,ranking_source,rank,score,university_name_std,country_std,rank_original,rank_numeric,score_original,score_numeric,rank_normalized,score_normalized
Aristotle University of Thessaloniki,Greece,2026,THE,936.0,36.6215,aristotle university of thessaloniki,greece,936,936.0,36.6215,36.6215,57.30593607305936,29.364398279205577
Ilam University of Medical Sciences,Iran,2026,THE,937.0,36.6175,ilam university of medical sciences,iran,937,937.0,36.6175,36.6175,57.26027397260274,29.359940262577176
Zahedan University of Medical Sciences,Iran,2026,THE,938.0,36.5635,zahedan university of medical sciences,iran,938,938.0,36.5635,36.5635,57.214611872146115,29.299757038093748
North South University,Bangladesh,2026,THE,939.0,36.5615,north south university,bangladesh,939,939.0,36.5615,36.5615,57.16894977168949,29.297528029779553
Halmstad University,Sweden,2026,THE,940.0,36.5609999999999,halmstad university,sweden,940,940.0,36.5609999999999,36.5609999999999,57.12328767123288,29.29697077770089
Jahangirnagar University,Bangladesh,2026,THE,941.0,36.5274999999999,jahangirnagar university,bangladesh,941,941.0,36.5274999999999,36.5274999999999,57.077625570776256,29.25963488843802
University of Ibadan,Nigeria,2026,THE,942.0,36.4749999999999,university of ibadan,nigeria,942,942.0,36.4749999999999,36.4749999999999,57.03196347031964,29.201123420190246
EÃ¶tvÃ¶s LorÃ¡nd University,Hungary,2026,THE,943.0,36.4544999999999,eã¶tvã¶s lorã¡nd university,hungary,943,943.0,36.4544999999999,36.4544999999999,56.986301369863014,29.17827608496969
Medical University of Lodz,Poland,2026,THE,944.0,36.436,medical university of lodz,poland,944,944.0,36.436,36.436,56.94063926940639,29.157657758063436
Shahid Beheshti University,Iran,2026,THE,945.0,36.425,shahid beheshti university,iran,945,945.0,36.425,36.425,56.894977168949765,29.145398212335326
University of Roehampton,United Kingdom,2026,THE,946.0,36.4065,university of roehampton,united kingdom,946,946.0,36.4065,36.4065,56.849315068493155,29.124779885428975
Ontario Tech University,Canada,2026,THE,947.0,36.406,ontario tech university,canada,947,947.0,36.406,36.406,56.80365296803653,29.12422263335042
Florida Atlantic University,United States,2026,THE,948.0,36.384,florida atlantic university,united states,948,948.0,36.384,36.384,56.75799086757991,29.09970354189421
Khwaja Fareed University of Engineering and Information Technology,Pakistan,2026,THE,949.0,36.3724999999999,khwaja fareed university of engineering and information technology,pakistan,949,949.0,36.3724999999999,36.3724999999999,56.71232876712329,29.086886744087447
Old Dominion University,United States,2026,THE,950.0,36.347,old dominion university,united states,950,950.0,36.347,36.347,56.666666666666664,29.05846688808149
University of Lleida,Spain,2026,THE,951.0,36.3145,university of lleida,spain,951,951.0,36.3145,36.3145,56.62100456621004,29.02224550297573
Birmingham City University,United Kingdom,2026,THE,952.0,36.297,birmingham city university,united kingdom,952,952.0,36.297,36.297,56.57534246575342,29.002741680226464
AtatÃ¼rk University,Turkey,2026,THE,953.0,36.2749999999999,atatã¼rk university,turkey,953,953.0,36.2749999999999,36.2749999999999,56.529680365296805,28.97822258877014
K.N. Toosi University of Technology,Iran,2026,THE,954.0,36.2645,k.n. toosi university of technology,iran,954,954.0,36.2645,36.2645,56.48401826484019,28.966520295120695
University of Central Punjab,Pakistan,2026,THE,955.0,36.254,university of central punjab,pakistan,955,955.0,36.254,36.254,56.43835616438356,28.954818001471143
Ural Federal University,Russian Federation,2026,THE,956.0,36.239,ural federal university,russian federation,956,956.0,36.239,36.239,56.39269406392694,28.938100439114635
University of Rome III,Italy,2026,THE,957.0,36.2235,university of rome iii,italy,957,957.0,36.2235,36.2235,56.347031963470315,28.92082562467958
University of AlcalÃ¡,Spain,2026,THE,958.0,36.2159999999999,university of alcalã¡,spain,958,958.0,36.2159999999999,36.2159999999999,56.3013698630137,28.912466843501218
Northern Illinois University,United States,2026,THE,959.0,36.199,northern illinois university,united states,959,959.0,36.199,36.199,56.25570776255707,28.893520272830614
Al al-Bayt University,Jordan,2026,THE,960.0,36.1979999999999,al al-bayt university,jordan,960,960.0,36.1979999999999,36.1979999999999,56.21004566210046,28.892405768673406
Baqiyatallah University of Medical Sciences,Iran,2026,THE,961.0,36.1924999999999,baqiyatallah university of medical sciences,iran,961,961.0,36.1924999999999,36.1924999999999,56.16438356164384,28.886275995809356
Jamia Hamdard University,India,2026,THE,962.0,36.1515,jamia hamdard university,india,962,962.0,36.1515,36.1515,56.118721461187214,28.84058132536834
Mazandaran University of Medical Sciences,Iran,2026,THE,963.0,36.1104999999999,mazandaran university of medical sciences,iran,963,963.0,36.1104999999999,36.1104999999999,56.073059360730596,28.794886654927115
Peter the Great St Petersburg Polytechnic University,Russian Federation,2026,THE,964.0,36.1075,peter the great st petersburg polytechnic university,russian federation,964,964.0,36.1075,36.1075,56.02739726027397,28.79154314245592
University of Wolverhampton,United Kingdom,2026,THE,965.0,36.1045,university of wolverhampton,united kingdom,965,965.0,36.1045,36.1045,55.98173515981735,28.788199629984625
