QS_Rank,QS_Previous_Rank,QS_University_Name,QS_Country,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,QS_Academic_Reputation_Score,THE_Rank,THE_University_Name,THE_Country,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students,THE_Female_to_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Year,University_Name,Country,Year,Data_Source,QS_THE_Match_Status
207,227,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,Europe,L,FC,VH,Public,67.7,,,,,,,,,,,,,,,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,2026,QS only,QS record not matched in THE
1001-1200,951-1000,Rhodes University,South Africa,Africa,M,FO,VH,Public,8.0,,,,,,,,,,,,,,,Rhodes University,South Africa,2026,QS only,QS record not matched in THE
119,141,Rice University,United States of America,Americas,M,CO,VH,Private not for Profit,50.6,103.0,Rice University,United States,"8,223",10.3,31%,43 : 57,65.8395,56.7,46.8,88.1,72.9,82.6,2026.0,Rice University,United States,2026,QS + THE,Matched
1001-1200,951-1000,Riga Stradins University,Latvia,Europe,M,SP,HI,Public,7.4,1460.0,Riga Stradiņš University,Latvia,"8,229",24.6,35%,75 : 25,27.9335,18.5,16.9,39.1,25.0,64.6,2026.0,Riga Stradins University,Latvia,2026,QS + THE,Matched
761-770,721-730,Riga Technical University,Latvia,Europe,M,CO,VH,Public,12.6,1174.0,Riga Technical University,Latvia,"10,472",31.7,33%,35 : 65,32.5725,27.1,25.3,33.6,56.4,65.4,2026.0,Riga Technical University,Latvia,2026,QS + THE,Matched
1401+,1201-1400,Rikkyo University,Japan,Asia,L,FO,HI,Private for Profit,5.5,1597.0,Rikkyo University,Japan,"19,644",14.7,5%,56 : 44,25.6275,18.5,9.6,41.0,21.4,56.4,2026.0,Rikkyo University,Japan,2026,QS + THE,Matched
1201-1400,,Riphah International University,Pakistan,Asia,L,CO,HI,Private not for Profit,13.8,1038.0,Riphah International University,Pakistan,"26,970",11.9,0%,58 : 42,34.8055,20.0,10.4,71.2,17.8,50.9,2026.0,Riphah International University,Pakistan,2026,QS + THE,Matched
1001-1200,901-950,Ritsumeikan Asia Pacific University,Japan,Asia,M,SP,LO,Private for Profit,8.3,,,,,,,,,,,,,,,Ritsumeikan Asia Pacific University,Japan,2026,QS only,QS record not matched in THE
680,641-650,Ritsumeikan University,Japan,Asia,XL,CO,HI,Private not for Profit,25.7,1617.0,Ritsumeikan University,Japan,"35,919",18.0,10%,37 : 63,25.378,20.7,16.2,28.4,63.4,46.9,2026.0,Ritsumeikan University,Japan,2026,QS + THE,Matched
125,123,RMIT University,Australia,Oceania,XL,CO,VH,Public,55.1,267.0,RMIT University,Australia,"32,309",23.8,38%,49 : 51,55.7425,35.2,36.2,82.5,78.2,93.1,2026.0,RMIT University,Australia,2026,QS + THE,Matched
951-1000,901-950,The Robert Gordon University,United Kingdom,Europe,L,CO,HI,Public,4.0,828.0,Robert Gordon University,United Kingdom,"11,720",22.1,33%,64 : 36,38.43,17.3,13.9,69.9,39.2,90.1,2026.0,The Robert Gordon University,United Kingdom,2026,QS + THE,Matched
951-1000,1001-1200,Rochester Institute of Technology (RIT),United States of America,Americas,L,CO,VH,Private not for Profit,10.0,791.0,Rochester Institute of Technology,United States,"14,881",16.1,13%,37 : 63,39.33749999999999,24.2,22.6,65.5,62.3,46.7,2026.0,Rochester Institute of Technology (RIT),United States,2026,QS + THE,Matched
,,,,,,,,,,479.0,Roskilde University,Denmark,"5,248",14.0,17%,66 : 34,46.968,25.9,34.1,74.6,73.9,54.7,2026.0,Roskilde University,Denmark,2026,THE only,THE record not matched in QS
771-780,731-740,Rovira i Virgili University,Spain,Europe,L,FC,VH,Public,9.5,714.0,Rovira i Virgili University,Spain,"14,226",13.2,12%,60 : 40,40.968,28.2,25.1,62.5,57.5,57.6,2026.0,Rovira i Virgili University,Spain,2026,QS + THE,Matched
,,,,,,,,,,1273.0,Rowan University,United States,"17,484",13.3,6%,50 : 50,30.759,29.6,13.2,45.3,40.6,39.8,2026.0,Rowan University,United States,2026,THE only,THE record not matched in QS
461,477,Royal Holloway University of London,United Kingdom,Europe,L,CO,VH,Public,22.8,420.0,"Royal Holloway, University of London",United Kingdom,"12,155",15.9,33%,57 : 43,49.111,32.3,28.9,72.2,65.1,92.5,2026.0,Royal Holloway University of London,United Kingdom,2026,QS + THE,Matched
,,,,,,,,,,557.0,Royal Veterinary College,United Kingdom,"2,305",11.0,40%,81 : 19,45.0565,31.9,21.5,66.2,64.4,93.0,2026.0,Royal Veterinary College,United Kingdom,2026,THE only,THE record not matched in QS
,,,,,,,,,,599.0,RPTU University Kaiserslautern-Landau,Germany,"10,796",22.4,14%,49 : 51,43.661,36.1,30.9,56.3,83.2,51.1,2026.0,RPTU University Kaiserslautern-Landau,Germany,2026,THE only,THE record not matched in QS
367,316,RUDN University,Russian Federation,Europe,XL,FC,VH,Public,28.4,825.0,RUDN University,Russian Federation,"27,303",17.8,34%,59 : 41,38.509,39.9,27.8,40.2,36.6,68.7,2026.0,RUDN University,Russian Federation,2026,QS + THE,Matched
395,396,Ruhr-Universität Bochum,Germany,Europe,XL,FC,VH,Public,29.1,,,,,,,,,,,,,,,Ruhr-Universität Bochum,Germany,2026,QS only,QS record not matched in THE
,,,,,,,,,,271.0,Ruhr University Bochum,Germany,"30,732",39.4,20%,51 : 49,55.653000000000006,39.9,46.1,72.6,98.9,63.7,2026.0,Ruhr University Bochum,Germany,2026,THE only,THE record not matched in QS
80,84,Ruprecht-Karls-Universität Heidelberg,Germany,Europe,L,FO,VH,Public,87.1,,,,,,,,,,,,,,,Ruprecht-Karls-Universität Heidelberg,Germany,2026,QS only,QS record not matched in THE
,,,,,,,,,,481.0,Rush University,United States,"2,902",2.6,2%,76 : 24,46.88349999999999,44.5,16.4,80.6,63.5,30.4,2026.0,Rush University,United States,2026,THE only,THE record not matched in QS
1201-1400,1001-1200,The Russian Presidential Academy of National Economy and Public Administration,Russian Federation,Europe,XL,FO,VH,Public,5.6,1766.0,Russian Presidential Academy of National Economy and Public Administration,Russian Federation,"21,295",17.1,4%,66 : 34,22.8875,23.9,22.5,21.3,27.3,24.4,2026.0,The Russian Presidential Academy of National Economy and Public Administration,Russian Federation,2026,QS + THE,Matched
,,,,,,,,,,2091.0,Russian State University for the Humanities,Russian Federation,"17,097",19.6,5%,72 : 28,15.7175,15.2,13.9,16.2,16.0,22.7,2026.0,Russian State University for the Humanities,Russian Federation,2026,THE only,THE record not matched in QS
,,,,,,,,,,2127.0,Russian University of Transport (MIIT),Russian Federation,"21,334",24.7,9%,44 : 56,14.7245,18.1,12.1,8.0,37.4,26.4,2026.0,Russian University of Transport (MIIT),Russian Federation,2026,THE only,THE record not matched in QS
328,328,Rutgers University – New Brunswick,United States of America,Americas,XL,CO,VH,Public,47.7,,,,,,,,,,,,,,,Rutgers University – New Brunswick,United States,2026,QS only,QS record not matched in THE
771-780,801-850,Rutgers University - Newark,United States of America,Americas,M,CO,VH,Public,13.7,,,,,,,,,,,,,,,Rutgers University - Newark,United States,2026,QS only,QS record not matched in THE
,,,,,,,,,,322.0,Rutgers University–New Brunswick,United States,"46,825",11.3,16%,53 : 47,53.14849999999999,45.3,31.4,78.4,69.1,58.6,2026.0,Rutgers University–New Brunswick,United States,2026,THE only,THE record not matched in QS
,,,,,,,,,,92.0,RWTH Aachen University,Germany,"27,662",35.1,33%,35 : 65,66.74799999999999,54.9,63.0,76.7,100.0,70.3,2026.0,RWTH Aachen University,Germany,2026,THE only,THE record not matched in QS
,,,,,,,,,,2080.0,Ryukoku University,Japan,"15,132",26.8,3%,36 : 64,15.9485,15.9,10.5,16.2,24.2,31.8,2026.0,Ryukoku University,Japan,2026,THE only,THE record not matched in QS
,,,,,,,,,,1980.0,Rzeszów University of Technology,Poland,"10,790",12.0,1%,44 : 56,18.276,20.1,8.3,23.4,24.8,25.7,2026.0,Rzeszów University of Technology,Poland,2026,THE only,THE record not matched in QS
,,,,,,,,,,522.0,Saarland University,Germany,"16,434",9.6,21%,52 : 48,45.74349999999999,32.5,19.2,73.1,68.7,78.8,2026.0,Saarland University,Germany,2026,THE only,THE record not matched in QS
,,,,,,,,,,393.0,Sabancı University,Turkey,"3,752",19.5,12%,36 : 64,50.117,33.0,38.8,67.5,99.0,65.6,2026.0,Sabancı University,Turkey,2026,THE only,THE record not matched in QS
404,516,Sabanci University,Türkiye,Asia,S,CO,VH,Private not for Profit,26.5,,,,,,,,,,,,,,,Sabanci University,Türkiye,2026,QS only,QS record not matched in THE
,,,,,,,,,,1513.0,Sabzevar University of Medical Sciences,Iran,"2,226",7.0,1%,56 : 44,27.129,24.4,9.7,48.4,17.7,25.2,2026.0,Sabzevar University of Medical Sciences,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,1698.0,Saga University,Japan,"6,403",9.6,2%,42 : 58,24.092,25.4,14.7,25.4,66.9,27.2,2026.0,Saga University,Japan,2026,THE only,THE record not matched in QS
,,,,,,,,,,1247.0,Sahand University of Technology,Iran,"6,325",28.6,12%,43 : 57,31.354,28.8,13.6,47.9,47.6,35.2,2026.0,Sahand University of Technology,Iran,2026,THE only,THE record not matched in QS
618,711-720,Saint Joseph University of Beirut (USJ),Lebanon,Asia,M,FC,HI,Private not for Profit,13.4,,,,,,,,,,,,,,,Saint Joseph University of Beirut (USJ),Lebanon,2026,QS only,QS record not matched in THE
951-1000,951-1000,Saint Louis University,United States of America,Americas,L,CO,VH,Private not for Profit,5.7,503.0,Saint Louis University,United States,"11,556",7.5,11%,60 : 40,46.2425,43.8,17.7,73.5,64.4,47.5,2026.0,Saint Louis University,United States,2026,QS + THE,Matched
1201-1400,1001-1200,Saint-Petersburg Electrotechnical University LETI,Russian Federation,Europe,M,FO,VH,Public,4.8,,,,,,,,,,,,,,,Saint-Petersburg Electrotechnical University LETI,Russian Federation,2026,QS only,QS record not matched in THE
1001-1200,1001-1200,Saint-Petersburg Mining University,Russian Federation,Europe,M,FO,VH,Public,3.1,,,,,,,,,,,,,,,Saint-Petersburg Mining University,Russian Federation,2026,QS only,QS record not matched in THE
,,,,,,,,,,2055.0,Saint Petersburg State Pediatric Medical University,Russian Federation,"6,843",11.6,18%,67 : 33,16.54,25.6,11.2,8.0,17.5,35.2,2026.0,Saint Petersburg State Pediatric Medical University,Russian Federation,2026,THE only,THE record not matched in QS
375,365,Saint Petersburg State University,Russian Federation,Europe,L,FC,VH,Public,42.2,,,,,,,,,,,,,,,Saint Petersburg State University,Russian Federation,2026,QS only,QS record not matched in THE
,,,,,,,,,,1860.0,Saints Cyril and Methodius University in Skopje,North Macedonia,"26,028",12.2,0%,57 : 43,21.0005,21.3,10.2,23.9,32.6,43.8,2026.0,Saints Cyril and Methodius University in Skopje,North Macedonia,2026,THE only,THE record not matched in QS
,,,,,,,,,,1512.0,Saitama Medical University,Japan,"1,904",1.3,0%,49 : 51,27.131500000000003,27.0,10.8,42.7,44.8,19.1,2026.0,Saitama Medical University,Japan,2026,THE only,THE record not matched in QS
,,,,,,,,,,1738.0,Saitama University,Japan,"8,341",16.0,6%,32 : 68,23.5075,21.8,18.9,21.3,57.2,38.9,2026.0,Saitama University,Japan,2026,THE only,THE record not matched in QS
,,,,,,,,,,1383.0,Sakarya University,Turkey,"41,615",36.6,9%,52 : 48,28.901,21.8,13.8,49.7,26.7,33.2,2026.0,Sakarya University,Turkey,2026,THE only,THE record not matched in QS
1401+,1401+,Sakarya University,Türkiye,Asia,XL,FC,HI,Public,5.9,,,,,,,,,,,,,,,Sakarya University,Türkiye,2026,QS only,QS record not matched in THE
,,,,,,,,,,1886.0,Sakarya University of Applied Sciences,Turkey,"11,118",30.2,26%,31 : 69,20.412,13.2,9.8,32.7,16.4,42.8,2026.0,Sakarya University of Applied Sciences,Turkey,2026,THE only,THE record not matched in QS
1201-1400,1201-1400,Saken Seifullin Kazakh Agrotechnical University,Kazakhstan,Asia,M,FO,HI,Private not for Profit,10.2,,,,,,,,,,,,,,,Saken Seifullin Kazakh Agrotechnical University,Kazakhstan,2026,QS only,QS record not matched in THE
,,,,,,,,,,1309.0,Salahaddin University–Erbil,Iraq,"26,525",10.5,1%,54 : 46,30.2475,23.4,8.3,60.1,17.0,29.7,2026.0,Salahaddin University–Erbil,Iraq,2026,THE only,THE record not matched in QS
1201-1400,1001-1200,Samara National Research University (Samara University),Russian Federation,Europe,M,CO,VH,Public,4.0,1872.0,Samara National Research University (Samara University),Russian Federation,"9,427",10.4,10%,46 : 54,20.6815,27.1,14.1,16.2,34.2,31.6,2026.0,Samara National Research University (Samara University),Russian Federation,2026,QS + THE,Matched
,,,,,,,,,,1846.0,Samara State Medical University,Russian Federation,"8,007",9.3,12%,59 : 41,21.227,42.8,10.7,6.0,33.2,31.6,2026.0,Samara State Medical University,Russian Federation,2026,THE only,THE record not matched in QS
,,,,,,,,,,2167.0,Samara State Technical University,Russian Federation,"13,464",16.3,5%,35 : 65,13.5395,17.0,10.5,8.3,33.3,22.1,2026.0,Samara State Technical University,Russian Federation,2026,THE only,THE record not matched in QS
1001-1200,,Samarkand State University,Uzbekistan,Asia,L,CO,MD,Public,23.7,,,,,,,,,,,,,,,Samarkand State University,Uzbekistan,2026,QS only,QS record not matched in THE
1001-1200,1001-1200,San Diego State University,United States of America,Americas,XL,CO,VH,Public,7.9,1179.0,San Diego State University,United States,"33,402",25.5,4%,59 : 41,32.4725,22.9,12.8,57.2,57.0,34.2,2026.0,San Diego State University,United States,2026,QS + THE,Matched
1401+,1201-1400,San Francisco State University,United States of America,Americas,L,CO,HI,,5.2,,,,,,,,,,,,,,,San Francisco State University,United States,2026,QS only,QS record not matched in THE
,,,,,,,,,,231.0,Sant’Anna School of Advanced Studies – Pisa,Italy,807,6.4,20%,43 : 57,57.17399999999999,50.2,38.3,77.5,93.7,56.8,2026.0,Sant’Anna School of Advanced Studies – Pisa,Italy,2026,THE only,THE record not matched in QS
128,132,Sapienza University of Rome,Italy,Europe,XL,FC,VH,Public,90.7,172.0,Sapienza University of Rome,Italy,"60,428",27.3,7%,61 : 39,60.651,55.9,53.5,73.4,85.2,42.9,2026.0,Sapienza University of Rome,Italy,2026,QS + THE,Matched
,,,,,,,,,,1430.0,Sapporo Medical University,Japan,"1,307",3.3,0%,45 : 55,28.319,31.4,13.4,38.3,57.5,18.4,2026.0,Sapporo Medical University,Japan,2026,THE only,THE record not matched in QS
,,,,,,,,,,1464.0,SASTRA University,India,"11,847",13.9,0%,51 : 49,27.891,27.6,11.0,42.8,41.6,27.4,2026.0,SASTRA University,India,2026,THE only,THE record not matched in QS
331,405,Satbayev University (previously Kazakh Technical University named after K.I. Satpaev),Kazakhstan,Asia,M,FO,VH,Public,40.6,1644.0,Satbayev University,Kazakhstan,"8,346",11.2,17%,55 : 45,25.034,26.7,14.7,19.3,32.3,77.5,2026.0,Satbayev University (previously Kazakh Technical University named after K.I. Satpaev),Kazakhstan,2026,QS + THE,Matched
1201-1400,1201-1400,Sathyabama Institute of Science and Technology,India,Asia,L,CO,VH,Private not for Profit,11.0,1330.0,Sathyabama Institute of Science and Technology,India,"17,560",12.5,4%,49 : 51,29.8435,30.9,10.7,48.6,24.0,27.8,2026.0,Sathyabama Institute of Science and Technology,India,2026,QS + THE,Matched
,,,,,,,,,,1210.0,Saudi Electronic University,Saudi Arabia,"32,325",36.4,8%,46 : 54,31.98,10.6,9.6,65.4,19.1,75.8,2026.0,Saudi Electronic University,Saudi Arabia,2026,THE only,THE record not matched in QS
901-950,951-1000,Saveetha Institute of Medical And Technical Sciences (SIMATS),India,Asia,L,FO,VH,Private not for Profit,8.9,372.0,Saveetha Institute of Medical and Technical Sciences,India,"15,494",9.7,6%,52 : 48,50.7375,37.9,18.4,93.4,20.4,71.8,2026.0,Saveetha Institute of Medical And Technical Sciences (SIMATS),India,2026,QS + THE,Matched
566,631-640,Savitribai Phule Pune University,India,Asia,M,CO,VH,Public,11.1,969.0,Savitribai Phule Pune University,India,"6,043",12.2,2%,46 : 54,36.044,40.9,13.3,56.2,37.1,23.7,2026.0,Savitribai Phule Pune University,India,2026,QS + THE,Matched
,,,,,,,,,,612.0,Sciences Po,France,"14,675",49.1,41%,64 : 36,43.403000000000006,30.1,24.8,67.9,18.6,82.9,2026.0,Sciences Po,France,2026,THE only,THE record not matched in QS
367,350,Sciences Po Paris,France,Europe,L,SP,VH,Public,24.6,,,,,,,,,,,,,,,Sciences Po Paris,France,2026,QS only,QS record not matched in THE
,,,,,,,,,,138.0,Scuola Normale Superiore di Pisa,Italy,700,8.8,11%,30 : 70,62.7635,58.6,46.9,86.4,37.7,59.3,2026.0,Scuola Normale Superiore di Pisa,Italy,2026,THE only,THE record not matched in QS
1201-1400,1201-1400,Seattle University,United States of America,Americas,M,CO,HI,Private not for Profit,6.6,,,,,,,,,,,,,,,Seattle University,United States,2026,QS only,QS record not matched in THE
1001-1200,1001-1200,Sebelas Maret University,Indonesia,Asia,XL,FC,HI,Public,21.2,,,,,,,,,,,,,,,Sebelas Maret University,Indonesia,2026,QS only,QS record not matched in THE
,,,,,,,,,,1120.0,Sechenov University,Russian Federation,"21,906",11.3,23%,65 : 35,33.3605,30.2,19.4,43.6,40.7,54.9,2026.0,Sechenov University,Russian Federation,2026,THE only,THE record not matched in QS
,,,,,,,,,,1441.0,Sefako Makgatho Health Sciences University,South Africa,"5,570",7.1,2%,65 : 35,28.217,26.0,11.1,42.7,19.2,50.0,2026.0,Sefako Makgatho Health Sciences University,South Africa,2026,THE only,THE record not matched in QS
731-740,,SEGi University,Malaysia,Asia,M,FO,HI,Private for Profit,6.7,,,,,,,,,,,,,,,SEGi University,Malaysia,2026,QS only,QS record not matched in THE
392,396,Sejong University,Republic of Korea,Asia,L,CO,VH,Private not for Profit,16.3,,,,,,,,,,,,,,,Sejong University,Republic of Korea,2026,QS only,QS record not matched in THE
,,,,,,,,,,269.0,Sejong University,South Korea,"13,684",20.9,16%,46 : 54,55.719,33.6,33.6,92.6,83.7,65.8,2026.0,Sejong University,South Korea,2026,THE only,THE record not matched in QS
,,,,,,,,,,1148.0,Selçuk University,Turkey,"29,826",21.4,8%,51 : 49,32.9165,32.1,23.7,37.9,67.1,33.6,2026.0,Selçuk University,Turkey,2026,THE only,THE record not matched in QS
1201-1400,,Selcuk University,Türkiye,Asia,L,CO,VH,Public,7.5,,,,,,,,,,,,,,,Selcuk University,Türkiye,2026,QS only,QS record not matched in THE
,,,,,,,,,,273.0,Semmelweis University,Hungary,"9,774",12.5,45%,69 : 31,55.5365,45.4,28.8,83.5,75.1,76.5,2026.0,Semmelweis University,Hungary,2026,THE only,THE record not matched in QS
,,,,,,,,,,1139.0,Semnan University,Iran,"15,754",28.9,6%,53 : 47,33.0375,27.2,17.3,52.2,48.6,31.9,2026.0,Semnan University,Iran,2026,THE only,THE record not matched in QS
38,31,Seoul National University,Republic of Korea,Asia,L,FC,VH,Public,99.7,,,,,,,,,,,,,,,Seoul National University,Republic of Korea,2026,QS only,QS record not matched in THE
,,,,,,,,,,59.0,Seoul National University,South Korea,"26,783",15.3,16%,,74.094,74.1,74.8,77.6,100.0,43.5,2026.0,Seoul National University,South Korea,2026,THE only,THE record not matched in QS
1001-1200,1201-1400,Seoul National University of Science and Technology,Republic of Korea,Asia,M,FO,VH,Public,10.5,,,,,,,,,,,,,,,Seoul National University of Science and Technology,Republic of Korea,2026,QS only,QS record not matched in THE
,,,,,,,,,,1297.0,Seoul National University of Science and Technology (SeoulTech),South Korea,"8,106",11.8,13%,38 : 62,30.4305,30.3,21.7,35.1,52.6,34.2,2026.0,Seoul National University of Science and Technology (SeoulTech),South Korea,2026,THE only,THE record not matched in QS
,,,,,,,,,,1525.0,SGH Warsaw School of Economics,Poland,"7,993",14.8,14%,48 : 52,26.901,25.3,21.6,31.8,16.4,39.7,2026.0,SGH Warsaw School of Economics,Poland,2026,THE only,THE record not matched in QS
,,,,,,,,,,1800.0,Shahed University,Iran,"6,402",15.1,0%,47 : 53,22.275,26.0,13.1,26.6,32.4,20.4,2026.0,Shahed University,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,1433.0,Shahid Bahonar University of Kerman,Iran,"13,683",22.7,2%,60 : 40,28.3025,19.1,13.8,50.4,32.4,30.0,2026.0,Shahid Bahonar University of Kerman,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,945.0,Shahid Beheshti University,Iran,"23,882",19.0,2%,60 : 40,36.425,32.5,23.1,49.9,70.9,31.1,2026.0,Shahid Beheshti University,Iran,2026,THE only,THE record not matched in QS
741-750,851-900,Shahid Beheshti University (SBU),Iran (Islamic Republic of),Asia,L,FO,VH,Public,11.8,,,,,,,,,,,,,,,Shahid Beheshti University (SBU),Iran (Islamic Republic of),2026,QS only,QS record not matched in THE
,,,,,,,,,,735.0,Shahid Beheshti University of Medical Sciences,Iran,"12,165",7.9,6%,55 : 45,40.334,45.0,20.4,52.8,73.7,31.4,2026.0,Shahid Beheshti University of Medical Sciences,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,1413.0,Shahid Chamran University of Ahvaz,Iran,"13,351",22.4,2%,57 : 43,28.508,29.4,11.0,42.0,47.5,28.6,2026.0,Shahid Chamran University of Ahvaz,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,1517.0,Shahid Sadoughi University of Medical Sciences,Iran,"5,717",10.5,3%,56 : 44,27.0475,41.5,11.1,30.1,20.4,23.2,2026.0,Shahid Sadoughi University of Medical Sciences,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,1414.0,Shahrekord University,Iran,"7,567",20.1,4%,53 : 47,28.5035,24.0,13.4,48.8,20.5,27.7,2026.0,Shahrekord University,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,933.0,Shahrekord University of Medical Sciences,Iran,"3,423",11.4,2%,58 : 42,36.697,33.8,11.2,69.2,20.7,25.2,2026.0,Shahrekord University of Medical Sciences,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,1241.0,Shahrood University of Technology,Iran,"9,421",21.8,5%,46 : 54,31.443,29.0,15.5,47.1,28.2,41.8,2026.0,Shahrood University of Technology,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,820.0,Shahroud University of Medical Sciences,Iran,"1,709",11.4,0%,34 : 66,38.5915,35.2,13.6,72.1,21.4,23.7,2026.0,Shahroud University of Medical Sciences,Iran,2026,THE only,THE record not matched in QS
1401+,,"Shakarim University of the City of Semey, Kazakhstan",Kazakhstan,Asia,M,CO,MD,Public,10.4,,,,,,,,,,,,,,,"Shakarim University of the City of Semey, Kazakhstan",Kazakhstan,2026,QS only,QS record not matched in THE
,,,,,,,,,,275.0,Shandong University,China,"37,862",12.7,9%,,55.4925,46.4,44.0,72.7,99.3,43.5,2026.0,Shandong University,China,2026,THE only,THE record not matched in QS
339,316,Shandong University,China (Mainland),Asia,XL,FC,VH,Public,22.8,,,,,,,,,,,,,,,Shandong University,China (Mainland),2026,QS only,QS record not matched in THE
1201-1400,1201-1400,Shanghai International Studies University,China (Mainland),Asia,L,SP,VH,Public,7.2,,,,,,,,,,,,,,,Shanghai International Studies University,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,40.0,Shanghai Jiao Tong University,China,"41,507",12.5,11%,36 : 64,77.5695,75.4,79.1,80.2,100.0,57.7,2026.0,Shanghai Jiao Tong University,China,2026,THE only,THE record not matched in QS
47,45,Shanghai Jiao Tong University,China (Mainland),Asia,XL,FC,VH,Public,92.7,,,,,,,,,,,,,,,Shanghai Jiao Tong University,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,1077.0,Shanghai Normal University,China,"30,111",14.1,2%,70 : 30,34.098,32.0,16.6,53.9,40.1,27.6,2026.0,Shanghai Normal University,China,2026,THE only,THE record not matched in QS
1401+,1401+,Shanghai Normal University,China (Mainland),Asia,XL,CO,HI,Public,4.4,,,,,,,,,,,,,,,Shanghai Normal University,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,508.0,Shanghai University,China,"39,590",13.4,6%,50 : 50,46.028,31.5,37.6,64.3,93.6,37.3,2026.0,Shanghai University,China,2026,THE only,THE record not matched in QS
465,489,Shanghai University,China (Mainland),Asia,XL,FO,VH,Public,29.8,,,,,,,,,,,,,,,Shanghai University,China (Mainland),2026,QS only,QS record not matched in THE
1201-1400,1201-1400,Shanghai University of Finance and Economics,China (Mainland),Asia,L,SP,VH,Public,5.8,,,,,,,,,,,,,,,Shanghai University of Finance and Economics,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,1065.0,Shantou University,China,"21,935",16.7,1%,48 : 52,34.28,18.3,18.2,63.8,43.9,36.1,2026.0,Shantou University,China,2026,THE only,THE record not matched in QS
,,,,,,,,,,1811.0,Shanxi Medical University,China,"26,728",8.0,2%,66 : 34,21.869,24.2,11.6,29.8,23.9,19.6,2026.0,Shanxi Medical University,China,2026,THE only,THE record not matched in QS
,,,,,,,,,,1081.0,Shaqra University,Saudi Arabia,"20,402",15.5,1%,59 : 41,34.0595,17.1,9.4,67.0,17.1,73.4,2026.0,Shaqra University,Saudi Arabia,2026,THE only,THE record not matched in QS
,,,,,,,,,,773.0,Sharda University,India,"15,326",12.7,11%,43 : 57,39.63,32.8,13.5,73.7,22.1,40.6,2026.0,Sharda University,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,358.0,Sharif University of Technology,Iran,"10,163",21.9,1%,25 : 75,51.162000000000006,35.2,38.0,78.0,96.7,33.2,2026.0,Sharif University of Technology,Iran,2026,THE only,THE record not matched in QS
375,342,Sharif University of Technology,Iran (Islamic Republic of),Asia,M,FO,VH,Public,17.8,,,,,,,,,,,,,,,Sharif University of Technology,Iran (Islamic Republic of),2026,QS only,QS record not matched in THE
1001-1200,1001-1200,Sheffield Hallam University,United Kingdom,Europe,XL,CO,HI,Public,9.8,976.0,Sheffield Hallam University,United Kingdom,"29,535",19.0,23%,55 : 45,35.935,18.0,14.1,65.5,34.9,73.2,2026.0,Sheffield Hallam University,United Kingdom,2026,QS + THE,Matched
,,,,,,,,,,382.0,Shenzhen University,China,"35,012",13.8,1%,49 : 51,50.3255,26.5,35.9,86.4,82.8,38.2,2026.0,Shenzhen University,China,2026,THE only,THE record not matched in QS
452,508,Shenzhen University,China (Mainland),Asia,XL,CO,VH,Public,11.9,,,,,,,,,,,,,,,Shenzhen University,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,1755.0,Shibaura Institute of Technology,Japan,"9,475",25.2,5%,19 : 81,23.079,18.2,18.7,23.6,45.8,45.0,2026.0,Shibaura Institute of Technology,Japan,2026,THE only,THE record not matched in QS
,,,,,,,,,,1436.0,Shiga University of Medical Science,Japan,"1,136",3.0,4%,52 : 48,28.277,32.7,13.3,34.2,65.4,25.3,2026.0,Shiga University of Medical Science,Japan,2026,THE only,THE record not matched in QS
,,,,,,,,,,1814.0,Shimane University,Japan,"6,056",8.4,3%,41 : 59,21.814,26.0,13.0,21.5,41.1,30.4,2026.0,Shimane University,Japan,2026,THE only,THE record not matched in QS
1201-1400,1001-1200,Shinshu University,Japan,Asia,M,FC,VH,Public,4.7,1450.0,Shinshu University,Japan,"10,657",10.6,3%,33 : 67,28.027,26.7,18.4,32.5,66.8,31.9,2026.0,Shinshu University,Japan,2026,QS + THE,Matched
,,,,,,,,,,886.0,Shiraz University,Iran,"14,298",19.7,3%,55 : 45,37.50699999999999,27.4,26.0,56.3,62.6,33.2,2026.0,Shiraz University,Iran,2026,THE only,THE record not matched in QS
